last_name,first_name,position,total_bases,opportunities,percentage,player_id
kiermaier,kevin,8,-53,381,-0.139,595281
betts,mookie,9,-58,412,-0.141,605141
bradley,jackie,8,-95,527,-0.18,598265
gomez,carlos,9,-68,345,-0.197,460576
happ,ian,8,-36,160,-0.225,664023
brinson,lewis,8,-93,457,-0.204,621446
cooper,garrett,9,-5,9,-0.556,643265
heyward,jason,9,-87,397,-0.219,518792
soler,jorge,9,-69,223,-0.309,624585
garcia,avisail,9,-92,367,-0.251,541645
engel,adam,8,-105,606,-0.173,641553
gordon,alex,8,-8,61,-0.131,460086
orlando,paulo,8,-6,66,-0.091,449181
chisenhall,lonnie,9,-37,91,-0.407,502082
zimmer,bradley,8,-35,141,-0.248,605548
gordon,dee,8,-35,210,-0.167,543829
haniger,mitch,9,-121,539,-0.224,571745
gonzalez,carlos,9,-83,441,-0.188,471865
pollock,a. j.,8,-58,441,-0.132,572041
blackmon,charlie,8,-141,608,-0.232,453568
dyson,jarrod,9,-16,51,-0.314,502481
mazara,nomar,9,-117,437,-0.268,608577
springer,george,9,-37,200,-0.185,543807
deshields,delino,8,-120,497,-0.241,592261
marisnick,jake,8,-36,245,-0.147,545350
trout,mike,8,-77,490,-0.157,545361
calhoun,kole,9,-93,469,-0.198,594777
piscotty,stephen,9,-133,522,-0.255,572039
powell,boog,8,-18,36,-0.5,621471
margot,manuel,8,-72,531,-0.136,622534
myers,wil,9,-9,39,-0.231,571976
cain,lorenzo,8,-72,562,-0.128,456715
santana,domingo,9,-45,175,-0.257,570267
gentry,craig,9,-4,75,-0.053,502226
kepler,max,9,-60,393,-0.153,596146
buxton,byron,8,-13,116,-0.112,621439
jones,adam,8,-124,487,-0.255,430945
rosario,eddie,8,-1,5,-0.2,592696
hicks,aaron,8,-114,494,-0.231,543305
pillar,kevin,8,-104,611,-0.17,607680
grichuk,randal,9,-69,343,-0.201,545341
judge,aaron,9,-61,330,-0.185,592450
markakis,nick,9,-122,604,-0.202,455976
inciarte,ender,8,-136,683,-0.199,542255
altherr,aaron,8,-5,21,-0.238,571437
williams,nick,9,-106,320,-0.331,608384
herrera,odubel,8,-106,537,-0.197,546318
puig,yasiel,9,-79,366,-0.216,624577
jackson,austin,8,-79,386,-0.205,457706
taylor,chris,8,-30,143,-0.21,621035
mccutchen,andrew,9,-178,542,-0.328,457705
pham,tommy,8,-58,371,-0.156,502054
bruce,jay,9,-89,253,-0.352,457803
nimmo,brandon,8,-23,166,-0.139,607043
