last_name,first_name,position,total_bases,opportunities,percentage,player_id
torreyes,ronald,9,-2,2,-1.0,591720
figueroa,cole,4,1,4,0.25,502676
sands,jerry,9,1,1,1.0,543742
shuck,jb,8,-38,232,-0.164,543776
young,chris,8,-1,23,-0.043,455759
raburn,ryan,9,-4,5,-0.8,430605
romero,stefen,9,0,2,0.0,552662
werth,jayson,9,-2,9,-0.222,150029
torreyes,ronald,4,1,14,0.071,591720
refsnyder,rob,4,-6,13,-0.462,608701
paredes,jimmy,9,-12,63,-0.19,517370
turner,trea,4,-2,82,-0.024,607208
van slyke,scott,9,-6,27,-0.222,475100
carpenter,matt,4,-9,116,-0.078,572761
mahtook,mikie,9,-10,50,-0.2,543484
rodriguez,sean,8,0,4,0.0,446481
muncy,max,9,-4,50,-0.08,571970
almora,albert,8,1,92,0.011,546991
perez,hernan,9,-24,153,-0.157,541650
selsky,steve,8,-1,9,-0.111,592731
romine,andrew,9,-5,4,-1.25,461865
gillespie,cole,8,0,1,0.0,502261
rua,ryan,8,-1,7,-0.143,607387
merrifield,whit,9,-5,22,-0.227,593160
reynolds,matt,4,0,4,0.0,608703
waldrop,kyle,9,2,5,0.4,592835
venable,will,9,-2,9,-0.222,461416
harrison,josh,9,-1,1,-1.0,543281
goins,ryan,9,0,1,0.0,572365
moya,steven,9,-26,72,-0.361,570615
almora,albert,9,2,6,0.333,546991
decker,jaff,9,-11,32,-0.344,543094
schimpf,ryan,4,-17,201,-0.085,572114
wong,kolten,8,2,30,0.067,543939
coats,jason,9,2,26,0.077,605183
worth,danny,4,0,13,0.0,519445
pham,tommy,8,-42,136,-0.309,502054
brito,socrates,9,-7,27,-0.259,593647
saladino,tyler,9,0,1,0.0,573135
nava,daniel,9,1,4,0.25,537953
jaso,john,9,-1,2,-0.5,444379
williamson,mac,9,-3,70,-0.043,607776
ceciliani,darrell,9,-3,8,-0.375,571553
alcantara,arismendy,9,0,3,0.0,570489
franklin,nick,4,0,16,0.0,545338
barnes,brandon,9,-2,5,-0.4,488681
alcantara,arismendy,4,-1,8,-0.125,570489
kemp,tony,4,-1,6,-0.167,643393
lake,junior,9,-9,41,-0.22,516809
decker,jaff,8,0,8,0.0,543094
bryant,kris,8,0,1,0.0,592178
frazier,adam,9,-14,26,-0.538,624428
nimmo,brandon,9,-11,24,-0.458,607043
