last_name,first_name,position,total_bases,opportunities,percentage,player_id
peralta,jhonny,5,-7,32,-0.219,425509
headley,chase,5,-37,252,-0.147,452104
longoria,evan,5,-9,381,-0.024,446334
lamb,jake,5,-25,350,-0.071,571875
nunez,eduardo,5,-20,158,-0.127,456488
reyes,jose,5,-4,86,-0.047,408314
garcia,adonis,5,-1,94,-0.011,611177
peterson,jace,5,-2,18,-0.111,607054
diaz,yandy,5,0,68,0.0,650490
gallo,joey,5,-19,187,-0.102,608336
shaw,travis,5,-39,362,-0.108,543768
arenado,nolan,5,-24,432,-0.056,571448
sano,miguel,5,-3,211,-0.014,593934
moustakas,mike,5,-26,327,-0.08,519058
escobar,yunel,5,-30,199,-0.151,488862
plouffe,trevor,5,-14,164,-0.085,461858
dietrich,derek,5,-36,218,-0.165,518618
franco,maikel,5,-16,325,-0.049,596748
suarez,eugenio,5,-36,373,-0.097,553993
sandoval,pablo,5,-30,143,-0.21,467055
freese,david,5,-7,299,-0.023,501896
turner,justin,5,-20,266,-0.075,457759
schimpf,ryan,5,-19,142,-0.134,572114
seager,kyle,5,-3,438,-0.007,572122
bregman,alex,5,-34,347,-0.098,608324
machado,manny,5,-54,429,-0.126,592518
donaldson,josh,5,-31,289,-0.107,518626
frazier,todd,5,-28,326,-0.086,453943
bryant,kris,5,-14,356,-0.039,592178
cuthbert,cheslor,5,-13,99,-0.131,596144
gimenez,chris,5,0,1,0.0,460269
healy,ryon,5,-25,81,-0.309,592387
gyorko,jedd,5,-6,270,-0.022,576397
castellanos,nick,5,-37,321,-0.115,592206
rendon,anthony,5,-18,342,-0.053,543685
rojas,miguel,5,-3,12,-0.25,500743
forsythe,logan,5,-13,84,-0.155,523253
gonzalez,marwin,5,-9,49,-0.184,503556
gennett,scooter,5,-6,19,-0.316,571697
escobar,eduardo,5,-8,179,-0.045,500871
harrison,josh,5,-14,120,-0.117,543281
garcia,greg,5,-6,75,-0.08,594824
flores,wilmer,5,-16,125,-0.128,527038
sardinas,luis,5,2,7,0.286,596143
frazier,adam,5,4,4,1.0,624428
goins,ryan,5,-3,6,-0.5,572365
holt,brock,5,-1,18,-0.056,571788
hill,aaron,5,-3,18,-0.167,431094
perez,hernan,5,1,66,0.015,541650
rivera,t. j.,5,-20,68,-0.294,608061
drew,stephen,5,-1,13,-0.077,452220
gillaspie,conor,5,3,33,0.091,543216
barney,darwin,5,-15,97,-0.155,446381
davidson,matt,5,-1,70,-0.014,571602
robertson,daniel,5,3,34,0.088,621002
coghlan,chris,5,-12,35,-0.343,458085
torreyes,ronald,5,-1,52,-0.019,591720
martinez,michael,5,0,3,0.0,492841
prado,martin,5,-4,89,-0.045,445988
hernandez,marco,5,-2,24,-0.083,593523
sanchez,carlos,5,11,127,0.087,570560
hernandez,enrique,5,-3,20,-0.15,571771
