595281.0,-59,381
621002.0,-27,235
593428.0,-46,420
452655.0,-58,463
588751.0,-6,243
543068.0,-23,115
605141.0,-39,466
598265.0,-87,577
460576.0,-53,359
622110.0,-56,361
646240.0,-99,363
456488.0,-48,258
621563.0,-34,386
605480.0,-90,468
571506.0,-26,164
516770.0,-40,448
608365.0,-50,409
595879.0,-66,486
664023.0,-94,365
592178.0,-41,305
605119.0,-118,489
621446.0,-87,457
643265.0,-8,39
656941.0,-59,409
518792.0,-97,465
518618.0,-34,373
500743.0,-50,410
519203.0,-31,259
592680.0,-26,129
593160.0,-33,516
624585.0,-63,223
541645.0,-88,367
641313.0,-52,521
641553.0,-119,606
570560.0,-55,436
547170.0,-38,261
445055.0,-76,494
547989.0,-36,238
460086.0,-51,607
444876.0,-82,438
660162.0,-63,411
519058.0,-70,373
544725.0,-46,284
449181.0,-23,95
516416.0,-41,475
429664.0,-2,188
502082.0,-38,91
572122.0,-70,443
605548.0,-28,141
596019.0,-78,487
543829.0,-57,481
571745.0,-151,645
400085.0,-5,37
475174.0,-33,231
608070.0,-53,340
592387.0,-22,216
571980.0,-33,207
543401.0,-23,378
444482.0,-74,511
471865.0,-68,441
467827.0,-41,409
571448.0,-68,433
435622.0,-37,304
605113.0,-21,474
572041.0,-61,441
518934.0,-2,411
502671.0,-29,271
571875.0,-24,138
453568.0,-132,608
502481.0,-21,244
596115.0,-60,496
606466.0,-30,400
571918.0,-4,66
607387.0,-39,164
134181.0,-34,199
621043.0,-39,324
608324.0,-99,450
502210.0,-107,436
514888.0,-42,288
608336.0,-106,508
608577.0,-103,442
596059.0,-8,393
543807.0,-59,413
592261.0,-117,497
545350.0,-36,247
462101.0,-21,320
543760.0,-55,580
621566.0,-40,333
545361.0,-80,490
405395.0,-23,118
594777.0,-84,474
572039.0,-102,522
621471.0,-16,36
656305.0,-64,462
592743.0,-48,454
446359.0,-23,162
457708.0,-34,608
472528.0,-13,142
476704.0,-28,396
459964.0,-30,173
527043.0,-22,95
622534.0,-74,531
452104.0,-4,25
606115.0,-27,334
520471.0,-20,503
571976.0,-29,261
460075.0,-60,300
456715.0,-68,562
517369.0,-38,282
