last_name,first_name,position,total_bases,opportunities,percentage,player_id
ortega,rafael,9,-27,94,-0.287,542364
bautista,jose,3,5,4,1.25,430832
barnhart,tucker,3,0,9,0.0,571466
cano,robinson,3,-2,19,-0.105,429664
mckinney,billy,9,-10,42,-0.238,641856
diaz,yandy,3,-7,21,-0.333,650490
lowe,brandon,9,-5,16,-0.312,664040
casali,curt,3,0,7,0.0,592200
cruz,nelson,9,-1,12,-0.083,443558
gordon,alex,9,-2,6,-0.333,460086
sierra,magneuris,9,-9,60,-0.15,642423
prado,martin,3,0,3,0.0,445988
travis,sam,9,-4,2,-2.0,607752
gimenez,chris,3,-2,4,-0.5,460269
cordell,ryan,9,-5,19,-0.263,641477
barnes,brandon,9,-2,23,-0.087,488681
duvall,adam,9,0,2,0.0,594807
wade,tyler,9,0,4,0.0,642180
tellez,rowdy,3,-3,32,-0.094,642133
robles,victor,9,5,2,2.5,645302
reyes,pablo,9,-10,27,-0.37,622569
o'brien,peter,3,-3,29,-0.103,598284
rosales,adam,3,0,2,0.0,489267
mahtook,mikie,9,-9,25,-0.36,543484
fowler,dustin,9,0,2,0.0,641583
hanson,alen,9,-1,8,-0.125,593700
herrera,odubel,9,-16,29,-0.552,546318
o'brien,peter,9,-5,9,-0.556,598284
garcia,aramis,3,-7,16,-0.438,605244
straw,myles,9,0,4,0.0,664702
guerrero,gabriel,9,0,1,0.0,602115
velazquez,andrew,9,-1,3,-0.333,623205
alford,anthony,9,0,4,0.0,546990
panik,joe,3,0,1,0.0,605412
stewart,dj,9,-1,8,-0.125,621466
tucker,preston,9,0,2,0.0,605512
rondon,jose,3,0,1,0.0,602922
johnson,sherman,3,-1,3,-0.333,582473
garver,mitch,3,-1,3,-0.333,641598
florimon,pedro,9,-3,2,-1.5,465753
tucker,kyle,9,2,4,0.5,663656
tapia,raimel,9,-1,1,-1.0,606132
