last_name,first_name,position,total_bases,opportunities,percentage,player_id
cain,lorenzo,8,-7,347,-0.02,456715
lagares,juan,8,6,158,0.038,501571
grichuk,randal,8,-64,443,-0.144,545341
mccutchen,andrew,8,-74,614,-0.121,457705
kiermaier,kevin,8,-23,471,-0.049,595281
pillar,kevin,8,-12,608,-0.02,607680
jackson,austin,8,22,223,0.099,457706
burns,billy,8,-30,326,-0.092,542993
blackmon,charlie,8,-75,584,-0.128,453568
owings,chris,8,-39,210,-0.186,572008
jay,jon,8,-27,308,-0.088,445055
pederson,joc,8,-33,460,-0.072,592626
buxton,byron,8,-30,481,-0.062,621439
jones,adam,8,-19,633,-0.03,430945
herrera,odubel,8,-50,691,-0.072,546318
hamilton,billy,8,-6,474,-0.013,571740
span,denard,8,-77,561,-0.137,452655
broxton,keon,8,-14,268,-0.052,542979
flores,ramon,8,-15,81,-0.185,570717
martin,leonys,8,-10,625,-0.016,547982
inciarte,ender,8,-13,599,-0.022,542255
revere,ben,8,-13,273,-0.048,519184
trout,mike,8,-43,650,-0.066,545361
fowler,dexter,8,-30,395,-0.076,451594
bradley,jackie,8,-80,694,-0.115,598265
davis,rajai,8,-31,285,-0.109,434658
naquin,tyler,8,-47,385,-0.122,571980
ellsbury,jacoby,8,-31,506,-0.061,453056
gomez,carlos,8,-59,362,-0.163,460576
crisp,coco,8,-26,135,-0.193,424825
brito,socrates,8,-6,57,-0.105,593647
ozuna,marcell,8,-38,539,-0.071,542303
gose,anthony,8,-9,132,-0.068,543238
deshields,delino,8,-7,146,-0.048,592261
cespedes,yoenis,8,-29,234,-0.124,493316
barnes,brandon,8,-2,25,-0.08,488681
blanco,gregor,8,-14,66,-0.212,453923
desmond,ian,8,-69,624,-0.111,435622
hazelbaker,jeremy,8,-1,66,-0.015,571757
taylor,michael,8,-6,231,-0.026,572191
eaton,adam,8,-37,231,-0.16,594809
rickard,joey,8,-2,23,-0.087,572073
schebler,scott,8,-14,65,-0.215,594988
bourjos,peter,8,-3,24,-0.125,488721
stubbs,drew,8,-10,49,-0.204,453211
castillo,rusney,8,1,4,0.25,628329
nieuwenhuis,kirk,8,-38,309,-0.123,543590
thompson,trayce,8,-16,98,-0.163,572204
santana,danny,8,-18,202,-0.089,542454
heyward,jason,8,-7,91,-0.077,518792
rasmus,colby,8,-6,58,-0.103,458675
smith,mallex,8,8,165,0.048,605480
collins,tyler,8,-16,117,-0.137,607385
hernandez,enrique,8,-7,58,-0.121,571771
suzuki,ichiro,8,-2,47,-0.043,400085
den dekker,matt,8,0,18,0.0,544925
kepler,max,8,2,10,0.2,596146
parra,gerardo,8,2,33,0.061,467827
guyer,brandon,8,-5,84,-0.06,446386
rosario,eddie,8,3,168,0.018,592696
de aza,alejandro,8,-17,131,-0.13,457477
peralta,david,8,-1,28,-0.036,444482
upton,b. j.,8,-18,127,-0.142,425834
jankowski,travis,8,-11,374,-0.029,608671
marisnick,jake,8,3,304,0.01,545350
marte,starling,8,-6,51,-0.118,516782
heisey,chris,8,0,5,0.0,502317
hicks,aaron,8,-2,88,-0.023,543305
polanco,gregory,8,-2,15,-0.133,570256
presley,alex,8,-1,12,-0.083,502100
holt,tyler,8,-13,130,-0.1,534627
carrera,ezequiel,8,-2,16,-0.125,485567
ortega,rafael,8,5,17,0.294,542364
gentry,craig,8,-2,4,-0.5,502226
aoki,nori,8,1,60,0.017,493114
dyson,jarrod,8,-32,260,-0.123,502481
piscotty,stephen,8,-9,40,-0.225,572039
romine,andrew,8,-16,64,-0.25,461865
chisenhall,lonnie,8,0,6,0.0,502082
mastroianni,darin,8,-1,2,-0.5,518991
upton,justin,8,-5,21,-0.238,457708
