last_name,first_name,position,total_bases,opportunities,percentage,player_id
piscotty,stephen,9,-67,356,-0.188,572039
gyorko,jedd,4,1,17,0.059,576397
heyward,jason,8,-11,39,-0.282,518792
zobrist,ben,9,-31,114,-0.272,450314
fowler,dexter,8,-92,432,-0.213,451594
baez,javier,4,-13,165,-0.079,595879
miller,brad,4,-12,230,-0.052,543543
ellsbury,jacoby,8,-44,325,-0.135,453056
judge,aaron,9,-86,492,-0.175,592450
castro,starlin,4,-39,280,-0.139,516770
kiermaier,kevin,8,-1,425,-0.002,595281
souza,steven,9,-120,484,-0.248,519306
pollock,a. j.,8,-71,431,-0.165,572041
panik,joe,4,-52,387,-0.134,605412
span,denard,8,-145,545,-0.266,452655
pence,hunter,9,-156,508,-0.307,452254
peralta,david,9,-75,311,-0.241,444482
drury,brandon,4,-29,330,-0.088,592273
markakis,nick,9,-110,565,-0.195,455976
walker,neil,4,3,236,0.013,435522
granderson,curtis,8,-59,226,-0.261,434158
inciarte,ender,8,-144,786,-0.183,542255
phillips,brandon,4,-26,310,-0.084,408252
bruce,jay,9,-97,515,-0.188,457803
mazara,nomar,9,-81,317,-0.256,608577
naquin,tyler,8,-21,23,-0.913,571980
odor,rougned,4,-40,514,-0.078,596059
almonte,abraham,9,-29,94,-0.309,501659
gomez,carlos,8,-80,469,-0.171,460576
gonzalez,carlos,9,-124,450,-0.276,471865
blackmon,charlie,8,-136,692,-0.197,453568
santana,domingo,9,-152,515,-0.295,570267
broxton,keon,8,-86,494,-0.174,542979
lemahieu,dj,4,4,523,0.008,518934
villar,jonathan,4,-7,297,-0.024,542340
kepler,max,9,-79,515,-0.153,596146
buxton,byron,8,-98,662,-0.148,621439
mondesi,adalberto,4,2,36,0.056,609275
dozier,brian,4,-20,468,-0.043,572821
cain,lorenzo,8,-116,787,-0.147,456715
orlando,paulo,9,-6,51,-0.118,449181
joyce,matthew,9,-89,412,-0.216,459964
lowrie,jed,4,-14,362,-0.039,476704
trout,mike,8,-51,444,-0.115,545361
espinosa,danny,4,3,213,0.014,457787
davis,rajai,8,-52,281,-0.185,434658
calhoun,kole,9,-136,628,-0.217,594777
murphy,daniel,4,-29,393,-0.074,502517
eaton,adam,8,-24,93,-0.258,594809
stanton,giancarlo,9,-164,622,-0.264,519317
gordon,dee,4,-10,470,-0.021,543829
harper,bryce,9,-49,359,-0.136,547180
yelich,christian,8,-117,679,-0.172,592885
schebler,scott,9,-87,417,-0.209,594988
peraza,jose,4,-10,194,-0.052,606299
hamilton,billy,8,-52,589,-0.088,571740
hernandez,cesar,4,-26,413,-0.063,514917
saunders,michael,9,-41,218,-0.188,459431
herrera,odubel,8,-87,602,-0.145,546318
gennett,scooter,4,-18,252,-0.071,571697
pedroia,dustin,4,15,227,0.066,456030
bradley,jackie,8,-131,568,-0.231,598265
marte,starling,8,-17,99,-0.172,516782
harrison,josh,4,-20,246,-0.081,543281
betts,mookie,9,-49,622,-0.079,605141
mccutchen,andrew,9,-15,47,-0.319,457705
margot,manuel,8,-54,513,-0.105,622534
renfroe,hunter,9,-104,452,-0.23,592669
forsythe,logan,4,-24,199,-0.121,523253
puig,yasiel,9,-118,474,-0.249,624577
pederson,joc,8,-86,277,-0.31,592626
springer,george,8,-52,269,-0.193,543807
reddick,josh,9,-59,324,-0.182,502210
martin,leonys,8,-8,77,-0.104,547982
altuve,jose,4,-2,381,-0.005,514888
haniger,mitch,9,-40,373,-0.107,571745
cano,robinson,4,11,394,0.028,429664
springer,george,9,-63,185,-0.341,543807
smith,seth,9,-40,281,-0.142,452234
jones,adam,8,-125,639,-0.196,430945
bautista,jose,9,-132,578,-0.228,430832
schoop,jonathan,4,-21,499,-0.042,570731
pillar,kevin,8,-82,589,-0.139,607680
travis,devon,4,-26,141,-0.184,581527
saladino,tyler,4,-8,77,-0.104,573135
mahtook,mikie,9,-13,65,-0.2,543484
kinsler,ian,4,6,423,0.014,435079
garcia,avisail,9,-85,494,-0.172,541645
may,jacob,8,-12,36,-0.333,594576
jones,jacoby,8,-55,244,-0.225,592444
jackson,austin,8,-46,122,-0.377,457706
guyer,brandon,9,-10,80,-0.125,446386
ramirez,jose,4,-7,199,-0.035,608070
hernandez,enrique,8,-11,78,-0.141,571771
solarte,yangervis,4,-8,180,-0.044,500208
hernandez,gorkys,8,-46,215,-0.214,491676
wong,kolten,4,-29,306,-0.095,543939
almora,albert,8,-42,306,-0.137,546991
grichuk,randal,9,-31,220,-0.141,545341
choo,shin-soo,9,-50,315,-0.159,425783
perez,hernan,9,-14,62,-0.226,541650
nieuwenhuis,kirk,8,-12,18,-0.667,543590
canha,mark,9,-19,69,-0.275,592192
altherr,aaron,9,-25,171,-0.146,571437
young,chris,9,9,27,0.333,455759
owings,chris,9,-30,83,-0.361,572008
marisnick,jake,8,-59,242,-0.244,545350
mancini,trey,9,0,6,0.0,641820
zobrist,ben,4,-6,170,-0.035,450314
jay,jon,8,-41,153,-0.268,445055
heyward,jason,9,-44,369,-0.119,518792
collins,tyler,9,-6,49,-0.122,607385
machado,dixon,4,-5,60,-0.083,553988
rosales,adam,4,0,21,0.0,489267
pennington,cliff,4,2,103,0.019,460060
utley,chase,4,-14,165,-0.085,400284
descalso,daniel,4,-3,124,-0.024,518614
hill,aaron,4,0,19,0.0,431094
barney,darwin,4,-25,208,-0.12,446381
gosselin,philip,4,-3,20,-0.15,594838
perez,hernan,8,-7,35,-0.2,541650
santana,carlos,9,-10,24,-0.417,467793
garcia,leury,8,-62,217,-0.286,544725
parker,jarrett,9,-2,9,-0.222,592620
dyson,jarrod,8,-31,389,-0.08,502481
frazier,adam,4,-11,107,-0.103,624428
thames,eric,9,-6,11,-0.545,519346
alcantara,arismendy,8,-5,23,-0.217,570489
kivlehan,patrick,9,-27,69,-0.391,623182
martinez,jose,9,-29,59,-0.492,500874
hazelbaker,jeremy,8,-3,12,-0.25,571757
colon,christian,4,-2,27,-0.074,518568
cardullo,stephen,9,-2,7,-0.286,506924
toles,andrew,8,0,32,0.0,592808
van slyke,scott,8,0,1,0.0,475100
rojas,miguel,4,0,5,0.0,500743
suzuki,ichiro,9,-10,50,-0.2,400085
hicks,aaron,9,-8,34,-0.235,543305
romine,andrew,8,-24,102,-0.235,461865
selsky,steve,8,-4,8,-0.5,592731
grichuk,randal,8,-1,11,-0.091,545341
amarista,alexi,4,0,34,0.0,506560
conforto,michael,8,-30,156,-0.192,624424
sanchez,carlos,4,5,195,0.026,570560
hicks,aaron,8,-9,194,-0.046,543305
trumbo,mark,9,-17,101,-0.168,444432
benintendi,andrew,8,-30,130,-0.231,643217
gentry,craig,9,-8,61,-0.131,502226
santana,danny,9,-8,23,-0.348,542454
altherr,aaron,8,-12,59,-0.203,571437
hernandez,marco,4,0,13,0.0,593523
rosario,eddie,8,-15,38,-0.395,592696
gordon,alex,9,-5,6,-0.833,460086
robertson,daniel,4,-5,109,-0.046,621002
chisenhall,lonnie,8,-16,79,-0.203,502082
thompson,trayce,8,-4,22,-0.182,572204
alcantara,arismendy,4,-3,18,-0.167,570489
romine,andrew,4,-5,53,-0.094,461865
lagares,juan,8,-18,305,-0.059,501571
revere,ben,8,-2,14,-0.143,519184
maybin,cameron,9,-20,29,-0.69,457727
gennett,scooter,9,-4,20,-0.2,571697
flores,wilmer,4,1,28,0.036,527038
bourjos,peter,8,-9,91,-0.099,488721
hernandez,enrique,4,0,12,0.0,571771
goins,ryan,4,-3,137,-0.022,572365
escobar,eduardo,4,0,16,0.0,500871
decker,jaff,8,-2,56,-0.036,543094
maybin,cameron,8,-12,207,-0.058,457727
taylor,michael,8,-106,483,-0.219,572191
hanson,alen,4,-9,72,-0.125,593700
carrera,ezequiel,9,-13,61,-0.213,485567
