player_id,position,total_bases,opportunities
456715,8,-68,347
493316,7,-57,274
501571,8,-14,158
460086,7,-92,466
545341,8,-135,443
457705,8,-173,614
516782,7,-99,419
407812,7,-87,261
595281,8,-95,471
607680,8,-126,608
457775,7,-12,111
457706,8,-23,223
542993,8,-104,326
501981,7,-46,369
466320,7,-96,561
467827,7,-60,225
453568,8,-192,584
572008,8,-79,210
630111,7,-54,196
593647,7,0,14
425834,7,-74,400
445055,8,-63,308
408307,7,-20,61
592626,8,-95,460
571771,7,-7,80
621439,8,-105,481
592696,7,-30,220
430945,8,-123,633
572073,7,-9,115
594807,7,-100,536
546318,8,-149,691
501986,7,-10,31
571740,8,-90,474
534627,7,-15,35
434636,7,-122,458
452655,8,-173,561
460075,7,-72,456
542979,8,-48,268
595023,7,-4,2
570717,8,-36,81
493114,7,-61,345
547982,8,-114,625
435622,7,-21,95
452234,7,-24,125
459431,7,-74,335
542255,8,-92,599
519184,8,-54,273
493343,7,-2,14
150029,7,-88,429
425796,7,-11,162
545361,8,-157,650
451594,8,-82,395
656941,7,-1,2
537953,7,-37,134
407781,7,-10,34
598265,8,-200,694
434658,8,-78,285
571788,7,-40,218
571980,8,-118,385
434658,7,-22,167
453056,8,-125,506
458675,7,-26,289
460576,8,-131,362
543305,7,-17,74
458731,7,-146,566
502226,7,0,40
519333,7,-21,62
424825,8,-60,135
593647,8,-17,57
592885,7,-104,445
457708,7,-81,558
542303,8,-148,539
543238,8,-32,132
592261,8,-32,146
493316,8,-77,234
608070,7,-41,155
488681,8,-4,25
592273,7,-38,214
518466,7,-4,7
595963,7,-48,189
453923,8,-28,66
448605,7,-5,8
596143,7,-6,3
435622,8,-152,624
571757,8,-15,66
485567,7,6,92
446386,7,-46,176
572816,7,-37,265
572191,8,-51,231
592178,7,-9,132
594809,8,-65,231
543776,7,1,14
424825,7,-58,239
475100,7,7,28
572204,7,-19,57
453923,7,-16,73
460099,7,-36,173
572073,8,-1,23
594988,8,-29,65
455759,7,-33,176
624585,7,-20,132
545350,7,-6,86
542454,7,-15,59
624424,7,-64,236
502034,7,0,5
488721,8,-4,24
453211,8,-15,49
596847,7,-6,52
628329,8,-1,4
543590,8,-87,309
572204,8,-31,98
518586,7,1,3
542454,8,-56,202
594988,7,-15,37
430605,7,-50,129
572019,7,-6,14
430637,7,7,28
518792,8,-18,91
458675,8,-15,58
605512,7,-2,50
461235,7,-31,167
571757,7,-26,104
547957,7,-32,270
605480,8,-29,165
444432,7,-5,6
475247,7,-4,5
543590,7,-5,13
607385,8,-49,117
571976,7,-1,6
607387,7,-32,161
435062,7,-69,286
571771,8,-16,58
400085,8,-12,47
457477,7,-6,33
607054,7,0,43
502317,7,-18,60
544925,8,-2,18
596146,8,4,10
467827,8,-6,33
446386,8,-22,84
592696,8,-30,168
542455,7,-14,74
457477,8,-33,131
444482,8,-8,28
542364,7,-46,180
573131,7,-4,36
425834,8,-46,127
430001,7,-28,87
608671,8,-51,374
453211,7,0,18
594809,7,-3,6
545350,8,-67,304
607385,7,-1,26
570717,7,10,40
570256,7,-19,78
516782,8,-12,51
502317,8,-2,5
518953,7,-8,41
543305,8,-13,88
458085,7,-14,66
570256,8,-3,15
502100,8,-4,12
459964,7,-14,60
544925,7,-4,15
534627,8,-45,130
449107,7,7,14
571946,7,-2,2
608671,7,-8,21
485567,8,-16,16
542364,8,-2,17
502226,8,-2,4
488726,7,-10,32
493114,8,-23,60
429711,7,-12,26
502481,8,-64,260
595879,7,0,1
592192,7,2,9
572039,8,-16,40
611177,7,-11,16
453203,7,-3,100
400085,7,-11,51
502100,7,-20,50
607776,7,-8,42
501888,7,0,2
605253,7,0,3
461865,8,-27,64
542255,7,-5,40
502082,8,-2,6
518991,8,-2,2
543742,7,0,2
519184,7,-1,53
592620,7,-5,48
543105,7,-37,241
446481,7,3,9
457708,8,-4,21
570615,7,-1,23
606299,8,-15,47
542992,7,0,1
502523,8,-10,19
519208,7,-3,9
457727,8,-84,424
456422,8,-118,344
519306,8,-7,13
593160,7,-3,43
492841,7,-2,11
643393,7,-10,82
518991,7,0,1
594838,7,0,10
493472,7,0,2
596119,7,-1,52
608577,7,-37,130
543257,7,-50,312
605509,7,2,7
492841,8,-9,12
457775,8,-46,121
502481,7,0,49
543484,8,-22,76
592419,7,-5,25
519333,8,-13,47
605480,7,1,56
453203,8,-18,42
502261,7,-5,14
543484,7,-2,60
518618,7,-3,18
552662,7,-2,16
518649,7,-6,42
503556,7,-2,48
543776,8,-55,232
455759,8,-5,23
542194,7,-1,20
433217,7,0,1
453895,7,0,1
605125,7,-26,217
541645,7,-4,31
519295,7,-18,52
605183,7,6,15
571681,7,-6,12
517370,7,-16,51
592835,7,0,4
546991,7,2,15
446481,8,-1,4
598284,7,-23,44
592239,7,-6,35
546991,8,-4,92
592731,8,-1,9
502523,7,-7,48
502261,8,0,1
506560,7,-1,11
527043,7,-19,80
607387,8,-1,7
592407,7,0,1
592731,7,5,12
572365,7,-2,5
488818,7,-1,29
628329,7,-1,7
543094,7,-2,20
488681,7,-19,75
543939,8,-1,30
502054,7,-6,50
502054,8,-56,136
466988,7,4,27
606299,7,-12,32
600301,7,5,13
608703,7,-4,5
534606,7,-2,6
543768,7,0,1
518490,7,-9,71
543094,8,-1,8
575929,7,-11,68
592178,8,0,1
543939,7,-12,19
474319,7,-1,5
607043,7,-18,45
545338,7,-28,73
488818,8,-2,19
449181,8,-20,158
519295,8,-43,227
543302,7,-7,14
501659,8,-2,6
624428,7,-8,34
592620,8,-2,4
474832,7,-3,4
466988,8,-8,5
461416,7,-3,5
434636,8,-11,24
543706,7,-2,14
501659,7,-24,73
543706,8,0,1
502285,8,-1,1
518614,7,0,18
592808,8,-13,16
475100,8,-4,5
450314,7,-6,31
624577,8,-4,12
545341,7,-2,13
434158,8,-38,125
446381,7,1,11
474865,8,-4,7
518653,8,-6,5
474865,7,-5,15
592261,7,-12,52
624424,8,2,20
592239,8,0,1
518653,7,2,20
621311,7,-24,179
608701,7,-3,10
456422,7,-8,36
607208,8,-42,182
621311,8,-5,23
463610,7,-1,30
595777,7,-5,26
448605,8,-7,25
608324,7,-3,1
475243,7,-1,2
628338,7,-13,115
605508,8,-1,4
592885,8,-29,132
461314,7,-41,223
571437,8,-10,38
643217,7,-19,98
501255,7,-2,3
489267,7,0,6
434158,7,-10,25
571841,7,-4,26
573135,7,0,3
574847,7,-9,15
571553,7,-4,18
543807,8,-1,5
542993,7,-4,12
643217,8,-3,13
571437,7,-17,57
