player_id,position,total_bases,opportunities
572039.0,9,-104,356
576397.0,4,1,17
518792.0,8,-15,39
450314.0,9,-39,114
451594.0,8,-126,432
595879.0,4,-18,165
608365.0,6,-32,316
572761.0,3,-38,225
656941.0,7,-52,317
425509.0,5,-7,32
649557.0,6,-32,186
545341.0,7,-63,179
519203.0,3,-41,271
605480.0,7,-12,56
543543.0,4,-13,230
453056.0,8,-59,325
458731.0,7,-113,469
592450.0,9,-138,492
595885.0,3,-10,52
452104.0,5,-49,252
542921.0,6,-32,399
516770.0,4,-39,280
489149.0,3,-36,244
595281.0,8,-21,425
591720.0,6,-11,83
446334.0,5,-57,381
519306.0,9,-154,484
518902.0,6,-3,14
543305.0,7,-3,54
572008.0,6,-27,180
572041.0,8,-93,431
502671.0,3,-44,271
474832.0,3,-23,217
605412.0,4,-54,387
571875.0,5,-75,350
452655.0,8,-183,545
452254.0,9,-201,508
630111.0,7,-27,107
592620.0,7,-34,150
456488.0,5,-34,158
444482.0,9,-97,311
491676.0,7,-39,155
592273.0,4,-38,330
493316.0,7,-89,299
455976.0,9,-163,565
435522.0,4,-2,236
434158.0,8,-79,226
408314.0,5,-20,86
542255.0,8,-197,786
408252.0,4,-30,310
461314.0,7,-126,352
452678.0,6,-28,151
457803.0,9,-134,515
611177.0,5,-17,94
621020.0,6,-59,468
518692.0,3,-24,184
607054.0,5,-4,18
608577.0,9,-115,317
429665.0,3,-4,34
571980.0,8,-26,23
462101.0,6,-40,620
596059.0,4,-44,514
596019.0,6,-36,474
488726.0,7,-103,308
595777.0,7,-7,36
501659.0,9,-32,94
435063.0,3,-19,152
650490.0,5,-4,68
608336.0,5,-46,187
460576.0,8,-119,469
606115.0,6,-41,511
543768.0,5,-66,362
471865.0,9,-167,450
467827.0,7,-37,278
596115.0,6,-36,465
453568.0,8,-190,692
448602.0,3,-31,223
570267.0,9,-197,515
460075.0,7,-71,304
542979.0,8,-142,494
571448.0,5,-58,432
518934.0,4,-5,523
542340.0,4,-7,297
519346.0,3,-41,195
596146.0,9,-113,515
621439.0,8,-153,662
592696.0,7,-117,489
593871.0,6,-56,431
593934.0,5,-37,211
460086.0,7,-81,557
609275.0,4,1,36
572821.0,4,-22,468
456715.0,8,-171,787
449181.0,9,-11,51
543333.0,3,-43,267
408045.0,3,-31,218
519058.0,5,-57,327
444876.0,6,-30,571
459964.0,9,-142,412
501981.0,7,-128,465
543760.0,6,-38,295
488862.0,5,-40,199
476704.0,4,-26,362
592743.0,6,-50,528
545361.0,8,-81,444
543068.0,3,-21,198
457727.0,7,-49,188
457787.0,4,-6,213
434658.0,8,-55,281
594777.0,9,-180,628
461858.0,5,-32,164
