last_name,first_name,position,total_bases,opportunities,percentage,player_id
moustakas,mike,5,-9,65,-0.138,519058
wright,david,5,-22,93,-0.237,431151
freese,david,5,-11,202,-0.054,501896
carpenter,matt,5,2,120,0.017,572761
donaldson,josh,5,-47,371,-0.127,518626
valencia,danny,5,-12,183,-0.066,502143
lamb,jake,5,-63,357,-0.176,571875
arenado,nolan,5,-45,482,-0.093,571448
turner,justin,5,-28,318,-0.088,457759
solarte,yangervis,5,-32,241,-0.133,500208
machado,manny,5,-26,336,-0.077,592518
plouffe,trevor,5,-31,161,-0.193,461858
suarez,eugenio,5,-40,385,-0.104,553993
franco,maikel,5,-43,326,-0.132,596748
hill,aaron,5,-10,201,-0.05,431094
duffy,matt,5,-23,196,-0.117,622110
seager,kyle,5,-21,497,-0.042,572122
beltre,adrian,5,-16,408,-0.039,134181
longoria,evan,5,-38,357,-0.106,446334
garcia,adonis,5,-49,300,-0.163,611177
rendon,anthony,5,-5,372,-0.013,543685
uribe,juan,5,-8,174,-0.046,346874
shaw,travis,5,-31,294,-0.105,543768
valbuena,luis,5,-15,200,-0.075,472528
headley,chase,5,-41,394,-0.104,452104
escobar,yunel,5,-24,294,-0.082,488862
bryant,kris,5,-50,255,-0.196,592178
frazier,todd,5,-43,389,-0.111,453943
prado,martin,5,-31,319,-0.097,445988
romine,andrew,5,-2,43,-0.047,461865
holt,brock,5,-6,36,-0.167,571788
castellanos,nick,5,-33,283,-0.117,592206
duffy,matt,5,0,1,0.0,592274
torreyes,ronald,5,-4,90,-0.044,591720
la stella,tommy,5,-3,47,-0.064,600303
hernandez,enrique,5,-2,8,-0.25,571771
barney,darwin,5,-10,64,-0.156,446381
martin,russell,5,0,1,0.0,431145
blanco,andres,5,-7,49,-0.143,433217
flaherty,ryan,5,5,90,0.056,475247
sandoval,pablo,5,-3,5,-0.6,467055
drury,brandon,5,-10,60,-0.167,592273
rivera,yadiel,5,-6,19,-0.316,592680
aviles,mike,5,-11,17,-0.647,449107
flores,wilmer,5,-18,98,-0.184,527038
rosales,adam,5,-7,81,-0.086,489267
gonzalez,marwin,5,-8,53,-0.151,503556
nunez,eduardo,5,-13,186,-0.07,456488
coghlan,chris,5,-8,42,-0.19,458085
walsh,colin,5,2,25,0.08,595023
rodriguez,sean,5,-1,15,-0.067,446481
amarista,alexi,5,-2,9,-0.222,506560
dietrich,derek,5,-9,21,-0.429,518618
kendrick,howie,5,-8,32,-0.25,435062
pacheco,jordan,5,-2,5,-0.4,457574
ramirez,jose,5,-18,230,-0.078,608070
beckham,gordon,5,-1,26,-0.038,493596
colon,christian,5,-4,30,-0.133,518568
wallace,brett,5,-13,55,-0.236,477165
gosselin,philip,5,-1,9,-0.111,594838
sardinas,luis,5,0,7,0.0,596143
castro,daniel,5,-3,13,-0.231,593495
tomlinson,kelby,5,0,4,0.0,605509
rutledge,josh,5,1,25,0.04,592710
culberson,charlie,5,-3,6,-0.5,518586
polanco,jorge,5,-9,21,-0.429,593871
figueroa,cole,5,-2,4,-0.5,502676
baez,javier,5,-20,125,-0.16,595879
sano,miguel,5,-25,136,-0.184,593934
pearce,steve,5,-1,2,-0.5,456665
rojas,miguel,5,3,11,0.273,500743
dominguez,matt,5,-1,11,-0.091,518625
tejada,ruben,5,-10,44,-0.227,514913
canha,mark,5,0,3,0.0,592192
drew,stephen,5,-6,20,-0.3,452220
