player_id,position,total_bases,opportunities
518792,8,-6,39
451594,8,-93,432
656941,7,-53,317
545341,7,-47,179
605480,7,-5,56
453056,8,-38,325
458731,7,-80,469
595281,8,-16,425
543305,7,4,54
572041,8,-75,431
452655,8,-172,545
630111,7,-19,107
592620,7,-7,150
491676,7,-32,155
493316,7,-71,299
434158,8,-60,226
542255,8,-187,786
461314,7,-73,352
571980,8,-19,23
488726,7,-84,308
595777,7,-6,36
460576,8,-86,469
467827,7,-28,278
453568,8,-151,692
460075,7,-47,304
542979,8,-138,494
621439,8,-141,662
592696,7,-80,489
460086,7,-35,557
456715,8,-143,787
501981,7,-88,465
545361,8,-87,444
457727,7,-34,188
434658,8,-39,281
150029,7,-19,175
542303,7,-66,650
594809,8,-35,93
592885,8,-141,679
594807,7,-68,577
571740,8,-123,589
546318,8,-111,602
435062,7,-9,183
643217,7,-90,461
598265,8,-139,568
624428,7,-43,205
516782,8,-17,99
592808,7,-14,55
608671,7,-2,51
622534,8,-98,513
592626,8,-91,277
429711,7,-16,36
543807,8,-62,269
547982,8,-15,77
502481,7,-5,50
493114,7,-65,188
430945,8,-121,639
485567,7,-47,222
607680,8,-71,589
547957,7,-44,169
572073,7,0,100
466320,7,-45,384
457708,7,-33,674
594576,8,-10,36
592444,8,-68,244
607385,7,-1,12
457706,8,-39,122
607387,7,-14,92
488721,7,-11,96
571771,8,-23,78
491676,8,-62,215
502029,7,2,30
136860,7,-13,28
502210,7,5,89
546991,8,-62,306
571431,7,-17,44
446386,7,-21,69
543590,8,-11,18
570256,7,-16,76
431094,7,-10,12
543302,7,-18,73
545350,8,-67,242
456665,7,-66,304
445055,8,-44,153
519346,7,-35,58
544725,7,-21,89
542454,7,-5,100
537953,7,-34,144
475100,7,-1,11
488818,7,3,4
541650,8,-11,35
506924,7,4,13
544725,8,-68,217
502481,8,-57,389
607054,7,-14,80
545338,7,-11,38
570489,8,-5,23
571757,8,-3,12
503556,7,-34,137
592808,8,-2,32
