last_name,first_name,position,total_bases,opportunities,percentage,player_id
duvall,adam,9,-9,17,-0.529,594807
holt,tyler,9,-11,38,-0.289,534627
ortega,rafael,8,1,17,0.059,542364
gentry,craig,8,-2,4,-0.5,502226
ackley,dustin,9,-1,15,-0.067,554429
aoki,nori,8,-5,60,-0.083,493114
young,chris,9,0,8,0.0,455759
de aza,alejandro,9,-7,35,-0.2,457477
dyson,jarrod,8,-56,260,-0.215,502481
piscotty,stephen,8,-11,40,-0.275,572039
moss,brandon,9,-3,61,-0.049,461235
parra,gerardo,9,-9,57,-0.158,467827
hernandez,enrique,9,1,10,0.1,571771
gillespie,cole,9,-7,14,-0.5,502261
lagares,juan,9,-4,8,-0.5,501571
zobrist,ben,9,-21,60,-0.35,450314
d'arnaud,chase,9,0,2,0.0,488818
kalish,ryan,9,0,4,0.0,501888
romine,andrew,8,-16,64,-0.25,461865
gamel,ben,9,-3,38,-0.079,592325
braun,ryan,9,0,1,0.0,460075
aviles,mike,9,-11,79,-0.139,449107
chisenhall,lonnie,8,-2,6,-0.333,502082
mastroianni,darin,9,0,7,0.0,518991
mastroianni,darin,8,-1,2,-0.5,518991
stubbs,drew,9,-17,40,-0.425,453211
herrmann,chris,9,0,12,0.0,543302
marisnick,jake,9,0,10,0.0,545350
rasmus,colby,9,-4,33,-0.121,458675
upton,justin,8,-4,21,-0.19,457708
naquin,tyler,9,-6,5,-1.2,571980
peraza,jose,8,-12,47,-0.255,606299
o'malley,shawn,8,-9,19,-0.474,502523
martinez,michael,9,7,29,0.241,492841
burns,billy,9,-2,22,-0.091,542993
rodriguez,sean,9,-12,49,-0.245,446481
flores,ramon,9,-34,155,-0.219,570717
maybin,cameron,8,-39,424,-0.092,457727
bourn,michael,8,-88,344,-0.256,456422
souza,steven,8,-6,13,-0.462,519306
motter,taylor,9,-1,15,-0.067,600301
flaherty,ryan,9,-3,7,-0.429,475247
o'malley,shawn,9,-5,22,-0.227,502523
pirela,jose,9,-1,2,-0.5,517369
nieuwenhuis,kirk,9,-13,79,-0.165,543590
smolinski,jake,9,0,87,0.0,519295
martinez,michael,8,-5,12,-0.417,492841
refsnyder,rob,9,-8,52,-0.154,608701
jennings,desmond,8,-32,121,-0.264,457775
bourn,michael,9,-20,58,-0.345,456422
mahtook,mikie,8,-12,76,-0.158,543484
ortega,rafael,9,2,24,0.083,542364
szczur,matt,8,-10,47,-0.213,519333
robinson,shane,8,-15,42,-0.357,453203
weeks,rickie,9,-5,2,-2.5,430001
parker,jarrett,9,-13,61,-0.213,592620
amarista,alexi,9,-3,9,-0.333,506560
torreyes,ronald,9,-2,2,-1.0,591720
sands,jerry,9,1,1,1.0,543742
shuck,jb,8,-38,232,-0.164,543776
young,chris,8,-1,23,-0.043,455759
raburn,ryan,9,-4,5,-0.8,430605
romero,stefen,9,0,2,0.0,552662
werth,jayson,9,-2,9,-0.222,150029
paredes,jimmy,9,-12,63,-0.19,517370
van slyke,scott,9,-6,27,-0.222,475100
mahtook,mikie,9,-10,50,-0.2,543484
rodriguez,sean,8,0,4,0.0,446481
muncy,max,9,-4,50,-0.08,571970
almora,albert,8,1,92,0.011,546991
perez,hernan,9,-24,153,-0.157,541650
selsky,steve,8,-1,9,-0.111,592731
romine,andrew,9,-5,4,-1.25,461865
gillespie,cole,8,0,1,0.0,502261
rua,ryan,8,-1,7,-0.143,607387
merrifield,whit,9,-5,22,-0.227,593160
waldrop,kyle,9,2,5,0.4,592835
venable,will,9,-2,9,-0.222,461416
harrison,josh,9,-1,1,-1.0,543281
goins,ryan,9,0,1,0.0,572365
moya,steven,9,-26,72,-0.361,570615
almora,albert,9,2,6,0.333,546991
decker,jaff,9,-11,32,-0.344,543094
wong,kolten,8,2,30,0.067,543939
coats,jason,9,2,26,0.077,605183
pham,tommy,8,-42,136,-0.309,502054
brito,socrates,9,-7,27,-0.259,593647
saladino,tyler,9,0,1,0.0,573135
nava,daniel,9,1,4,0.25,537953
jaso,john,9,-1,2,-0.5,444379
williamson,mac,9,-3,70,-0.043,607776
ceciliani,darrell,9,-3,8,-0.375,571553
alcantara,arismendy,9,0,3,0.0,570489
barnes,brandon,9,-2,5,-0.4,488681
lake,junior,9,-9,41,-0.22,516809
decker,jaff,8,0,8,0.0,543094
bryant,kris,8,0,1,0.0,592178
frazier,adam,9,-14,26,-0.538,624428
nimmo,brandon,9,-11,24,-0.458,607043
lamarre,ryan,9,-1,1,-1.0,534606
morales,kendrys,9,-2,15,-0.133,434778
franklin,nick,9,8,19,0.421,545338
d'arnaud,chase,8,-1,19,-0.053,488818
orlando,paulo,8,-5,158,-0.032,449181
smolinski,jake,8,-29,227,-0.128,519295
taylor,michael,9,0,4,0.0,572191
almonte,abraham,8,-1,6,-0.167,501659
parker,jarrett,8,-2,4,-0.5,592620
bonifacio,emilio,8,-7,5,-1.4,466988
pagan,angel,8,-9,24,-0.375,434636
almonte,abraham,9,-10,91,-0.11,501659
robinson,shane,9,4,18,0.222,453203
eibner,brett,9,-11,96,-0.115,518649
robertson,dan,8,0,1,0.0,543706
ladendorf,tyler,8,-1,1,-1.0,502285
toles,andrew,8,-9,16,-0.562,592808
robertson,dan,9,-2,6,-0.333,543706
van slyke,scott,8,-4,5,-0.8,475100
collins,tyler,9,-8,14,-0.571,607385
puig,yasiel,8,-3,12,-0.25,624577
walters,zach,9,-3,4,-0.75,595025
freeman,mike,9,-1,5,-0.2,502273
