last_name,first_name,position,total_bases,opportunities,percentage,player_id
fisher,derek,8,-1,10,-0.1,605233
perkins,cameron,8,0,5,0.0,573088
robinson,drew,8,-11,27,-0.407,592685
stevenson,andrew,8,2,16,0.125,664057
powell,boog,8,-5,117,-0.043,621471
villar,jonathan,8,-5,10,-0.5,542340
pinder,chad,8,-8,22,-0.364,640461
rodriguez,sean,8,-2,5,-0.4,446481
haniger,mitch,8,1,17,0.059,571745
aoki,nori,8,-2,6,-0.333,493114
florimon,pedro,8,-11,38,-0.289,465753
de aza,alejandro,8,2,7,0.286,457477
galvis,freddy,8,-6,9,-0.667,520471
ervin,phil,8,-2,40,-0.05,640447
verdugo,alex,8,-3,7,-0.429,657077
allen,greg,8,-9,53,-0.17,656185
orlando,paulo,8,-10,44,-0.227,449181
joyce,matthew,8,0,4,0.0,459964
bellinger,cody,8,0,14,0.0,641355
hernandez,teoscar,8,0,20,0.0,606192
peraza,jose,8,-1,8,-0.125,606299
tauchman,mike,8,-2,7,-0.286,643565
robles,victor,8,3,5,0.6,645302
kemp,tony,8,3,5,0.6,643393
hays,austin,8,11,24,0.458,669720
calixte,orlando,8,-1,3,-0.333,593525
desmond,ian,8,3,7,0.429,435622
kipnis,jason,8,-13,35,-0.371,543401
berry,quintin,8,0,1,0.0,450641
bautista,rafael,8,-1,1,-1.0,622441
smolinski,jake,8,-1,35,-0.029,519295
hannemann,jacob,8,3,24,0.125,595238
