last_name,first_name,position,total_bases,opportunities,percentage,player_id,bases_above_average,,,
donaldson,josh,5,-60,289,-0.208,518626,-5.202,,,
flores,wilmer,5,-31,125,-0.248,527038,-7.25,,,
machado,manny,5,-89,429,-0.207,592518,-7.293,,,
lamb,jake,5,-75,350,-0.214,571875,-8.4,,,
spangenberg,cory,5,-52,223,-0.233,605486,-9.589,,,
gallo,joey,5,-46,187,-0.246,608336,-10.472,,,
sandoval,pablo,5,-39,143,-0.273,467055,-11.869,,,
devers,rafael,5,-44,158,-0.278,646240,-13.904,,,
castellanos,nick,5,-76,321,-0.237,592206,-15.087,,,
ruiz,rio,5,-37,113,-0.327,547004,-15.481,,,
dietrich,derek,5,-65,218,-0.298,518618,-23.544,,,
escobar,alcides,6,-30,571,-0.053,444876,29.692,,,
andrus,elvis,6,-40,620,-0.065,462101,24.8,,,
segura,jean,6,-17,384,-0.044,516416,23.424,,,
rosales,adam,6,-5,202,-0.025,489267,16.16,,,
ahmed,nick,6,-3,161,-0.019,605113,13.846,,,
lindor,francisco,6,-36,474,-0.076,596019,13.746,,,
mercer,jordy,6,-33,438,-0.075,474568,13.14,,,
story,trevor,6,-36,465,-0.077,596115,13.02,,,
arcia,orlando,6,-41,511,-0.08,606115,12.775,,,
beckham,tim,6,-32,399,-0.08,542921,9.975,,,
goins,ryan,6,-18,262,-0.069,572365,9.432,,,
tulowitzki,troy,6,-15,229,-0.066,453064,8.931,,,
galvis,freddy,6,-46,522,-0.088,520471,8.874,,,
marte,ketel,6,-10,179,-0.056,606466,8.771,,,
rojas,miguel,6,-18,238,-0.076,500743,6.902,,,
hardy,j. j.,6,-19,239,-0.079,429666,6.214,,,
riddle,jt,6,-16,211,-0.076,595375,6.119,,,
difo,wilmer,6,-17,214,-0.079,594694,5.564,,,
simmons,andrelton,6,-50,528,-0.095,592743,5.28,,,
gonzalez,marwin,6,-7,104,-0.067,503556,3.952,,,
dejong,paul,6,-27,280,-0.096,657557,2.52,,,
russell,addison,6,-32,316,-0.101,608365,1.264,,,
gregorius,didi,6,-47,456,-0.103,544369,0.912,,,
seager,corey,6,-42,399,-0.105,608369,0,,,
correa,carlos,6,-39,342,-0.114,621043,-3.078,,,
rosario,amed,6,-23,156,-0.147,642708,-6.552,,,
semien,marcus,6,-38,295,-0.129,543760,-7.08,,,
turner,trea,6,-41,315,-0.13,607208,-7.875,,,
bogaerts,xander,6,-57,468,-0.122,593428,-7.956,,,
owings,chris,6,-27,180,-0.15,572008,-8.1,,,
iglesias,jose,6,-53,429,-0.124,578428,-8.151,,,
cozart,zack,6,-46,358,-0.128,446359,-8.234,,,
hechavarria,adeiny,6,-42,310,-0.135,588751,-9.3,,,
swanson,dansby,6,-59,468,-0.126,621020,-9.828,,,
polanco,jorge,6,-56,431,-0.13,593871,-10.775,,,
crawford,brandon,6,-63,496,-0.127,543063,-10.912,,,
cabrera,asdrubal,6,-28,151,-0.185,452678,-12.08,,,
diaz,aledmys,6,-32,186,-0.172,649557,-12.462,,,
reyes,jose,6,-38,239,-0.159,408314,-12.906,,,
aybar,erick,6,-54,340,-0.159,430947,-18.36,,,
baez,javier,6,-43,211,-0.204,595879,-20.889,,,
anderson,tim,6,-73,493,-0.148,641313,-21.199,,,
peraza,jose,6,-40,157,-0.255,606299,-23.55,,,
upton,justin,7,-76,674,-0.113,457708,84.924,,,
ozuna,marcell,7,-96,650,-0.148,542303,59.15,,,
gordon,alex,7,-81,557,-0.145,460086,52.358,,,
heredia,guillermo,7,-15,208,-0.072,628338,34.736,,,
duvall,adam,7,-106,577,-0.184,594807,31.735,,,
parra,gerardo,7,-37,278,-0.133,467827,29.468,,,
marte,starling,7,-25,224,-0.112,516782,28.448,,,
schwarber,kyle,7,-52,317,-0.164,656941,23.775,,,
delmonico,nick,7,-4,109,-0.037,547170,22.018,,,
dickerson,corey,7,-63,350,-0.18,572816,20.65,,,
peralta,david,7,-19,145,-0.131,444482,15.66,,,
werth,jayson,7,-28,175,-0.16,150029,13.825,,,
kendrick,howie,7,-30,183,-0.164,435062,13.725,,,
pirela,jose,7,-46,241,-0.191,517369,11.568,,,
santana,danny,7,-13,100,-0.13,542454,10.9,,,
cabrera,melky,7,-84,384,-0.219,466320,7.68,,,
rickard,joey,7,-17,100,-0.17,572073,6.9,,,
pham,tommy,7,-67,301,-0.223,502054,4.816,,,
taylor,chris,7,-39,179,-0.218,621035,3.759,,,
gonzalez,marwin,7,-29,137,-0.212,503556,3.699,,,
kim,hyun soo,7,-37,169,-0.219,547957,3.38,,,
parker,jarrett,7,-34,150,-0.227,592620,1.8,,,
braun,ryan,7,-71,304,-0.234,460075,1.52,,,
nimmo,brandon,7,-33,144,-0.229,607043,1.44,,,
deshields,delino,7,-51,216,-0.236,592261,0.648,,,
rosario,eddie,7,-117,489,-0.239,592696,0,,,
slater,austin,7,-29,121,-0.24,596103,-0.121,,,
altherr,aaron,7,-47,196,-0.24,571437,-0.196,,,
revere,ben,7,-68,283,-0.24,519184,-0.283,,,
gardner,brett,7,-113,469,-0.241,458731,-0.938,,,
tomas,yasmany,7,-27,107,-0.252,630111,-1.391,,,
carrera,ezequiel,7,-55,222,-0.248,485567,-1.998,,,
hernandez,gorkys,7,-39,155,-0.252,491676,-2.015,,,
maybin,cameron,7,-49,188,-0.261,457727,-4.136,,,
jay,jon,7,-35,118,-0.297,445055,-6.844,,,
conforto,michael,7,-59,213,-0.277,624424,-8.094,,,
bellinger,cody,7,-37,120,-0.308,641355,-8.28,,,
desmond,ian,7,-66,239,-0.276,435622,-8.843,,,
cordoba,allen,7,-35,103,-0.34,642707,-10.403,,,
gamel,ben,7,-89,329,-0.271,592325,-10.528,,,
perez,hernan,7,-47,143,-0.329,541650,-12.87,,,
young,chris,7,-42,121,-0.347,455759,-13.068,,,
mancini,trey,7,-94,338,-0.278,641820,-13.182,,,
nava,daniel,7,-48,144,-0.333,537953,-13.536,,,
frazier,adam,7,-63,205,-0.307,624428,-13.94,,,
pearce,steve,7,-89,304,-0.293,456665,-16.416,,,
davis,khris,7,-128,465,-0.275,501981,-16.74,,,
cespedes,yoenis,7,-89,299,-0.298,493316,-17.641,,,
fisher,derek,7,-46,118,-0.39,605233,-17.818,,,
grichuk,randal,7,-63,179,-0.352,545341,-20.227,,,
mazara,nomar,7,-67,175,-0.383,608577,-25.2,,,
aoki,nori,7,-72,188,-0.383,493114,-27.072,,,
benintendi,andrew,7,-139,461,-0.302,643217,-29.043,,,
brantley,michael,7,-103,308,-0.334,488726,-29.26,,,
frazier,clint,7,-58,100,-0.58,640449,-34.1,,,
kemp,matt,7,-126,352,-0.358,461314,-41.888,,,
kiermaier,kevin,8,-21,425,-0.049,595281,79.9,,,
pillar,kevin,8,-92,589,-0.156,607680,47.709,,,
hamilton,billy,8,-102,589,-0.173,571740,37.696,,,
dyson,jarrod,8,-65,389,-0.167,502481,27.23,,,
maybin,cameron,8,-24,207,-0.116,457727,25.047,,,
trout,mike,8,-81,444,-0.182,545361,24.42,,,
hicks,aaron,8,-22,194,-0.113,543305,24.056,,,
herrera,odubel,8,-120,602,-0.199,546318,22.876,,,
heredia,guillermo,8,-44,281,-0.157,628338,22.48,,,
lagares,juan,8,-51,305,-0.167,501571,21.35,,,
pham,tommy,8,-16,144,-0.111,502054,18.144,,,
ellsbury,jacoby,8,-59,325,-0.182,453056,17.875,,,
margot,manuel,8,-105,513,-0.205,622534,16.416,,,
cain,lorenzo,8,-171,787,-0.217,456715,15.74,,,
granite,zach,8,-11,104,-0.106,643335,13.624,,,
davis,rajai,8,-55,281,-0.196,434658,11.521,,,
pollock,a. j.,8,-93,431,-0.216,572041,9.051,,,
happ,ian,8,-29,146,-0.199,664023,5.548,,,
buxton,byron,8,-153,662,-0.231,621439,3.972,,,
taylor,chris,8,-35,162,-0.216,621035,3.402,,,
deshields,delino,8,-44,200,-0.22,592261,3.4,,,
almora,albert,8,-70,306,-0.229,546991,2.448,,,
zimmer,bradley,8,-78,339,-0.23,605548,2.373,,,
powell,boog,8,-26,117,-0.222,621471,1.755,,,
fuentes,rey,8,-31,127,-0.244,571681,-0.889,,,
springer,george,8,-66,269,-0.245,543807,-2.152,,,
smith,mallex,8,-50,202,-0.248,605480,-2.222,,,
collins,tyler,8,-31,120,-0.258,607385,-2.52,,,
blanco,gregor,8,-31,110,-0.282,453923,-4.95,,,
benintendi,andrew,8,-36,130,-0.277,643217,-5.2,,,
mahtook,mikie,8,-85,329,-0.258,543484,-6.909,,,
romine,andrew,8,-32,102,-0.314,461865,-7.854,,,
gomez,carlos,8,-119,469,-0.254,460576,-7.973,,,
jones,jacoby,8,-66,244,-0.27,592444,-8.052,,,
inciarte,ender,8,-197,786,-0.251,542255,-11.004,,,
bradley,jackie,8,-146,568,-0.257,598265,-11.36,,,
goodwin,brian,8,-43,131,-0.328,571718,-11.921,,,
conforto,michael,8,-49,156,-0.314,624424,-12.012,,,
yelich,christian,8,-174,679,-0.256,592885,-12.901,,,
hernandez,gorkys,8,-64,215,-0.298,491676,-13.115,,,
jones,adam,8,-166,639,-0.26,430945,-14.697,,,
jay,jon,8,-52,153,-0.34,445055,-15.759,,,
jackson,austin,8,-45,122,-0.369,457706,-16.104,,,
engel,adam,8,-129,470,-0.274,641553,-17.39,,,
mccutchen,andrew,8,-146,535,-0.273,457705,-19.26,,,
marisnick,jake,8,-78,242,-0.322,545350,-20.57,,,
fowler,dexter,8,-126,432,-0.292,451594,-23.76,,,
garcia,leury,8,-76,217,-0.35,544725,-24.521,,,
broxton,keon,8,-142,494,-0.287,542979,-24.7,,,
granderson,curtis,8,-79,226,-0.35,434158,-25.538,,,
blackmon,charlie,8,-190,692,-0.275,453568,-26.296,,,
brugman,jaycob,8,-67,171,-0.392,595144,-26.505,,,
taylor,michael,8,-142,483,-0.294,572191,-27.531,,,
pederson,joc,8,-108,277,-0.39,592626,-42.381,,,
span,denard,8,-183,545,-0.336,452655,-53.955,,,
betts,mookie,9,-112,622,-0.18,605141,70.908,,,
kepler,max,9,-113,515,-0.219,596146,38.625,,,
rickard,joey,9,-9,132,-0.068,572073,29.832,,,
haniger,mitch,9,-81,373,-0.217,571745,28.721,,,
harper,bryce,9,-83,359,-0.231,547180,22.617,,,
bruce,jay,9,-134,515,-0.26,457803,17.51,,,
heyward,jason,9,-91,369,-0.247,518792,17.343,,,
altherr,aaron,9,-38,171,-0.222,571437,12.312,,,
smith,seth,9,-71,281,-0.253,452234,11.521,,,
reddick,josh,9,-84,324,-0.259,502210,11.34,,,
chisenhall,lonnie,9,-19,101,-0.188,502082,10.706,,,
grichuk,randal,9,-56,220,-0.255,545341,8.58,,,
judge,aaron,9,-138,492,-0.28,592450,6.888,,,
garcia,avisail,9,-139,494,-0.281,541645,6.422,,,
presley,alex,9,-31,126,-0.246,502100,6.048,,,
choo,shin-soo,9,-87,315,-0.276,425783,5.67,,,
trumbo,mark,9,-25,101,-0.248,444432,4.646,,,
calhoun,kole,9,-180,628,-0.287,594777,4.396,,,
markakis,nick,9,-163,565,-0.288,455976,3.39,,,
granderson,curtis,9,-32,117,-0.274,434158,2.34,,,
saunders,michael,9,-62,218,-0.284,459431,2.18,,,
pinder,chad,9,-36,125,-0.288,640461,0.75,,,
piscotty,stephen,9,-104,356,-0.292,572039,0.712,,,
blash,jabari,9,-39,119,-0.328,518466,-4.046,,,
zobrist,ben,9,-39,114,-0.342,450314,-5.472,,,
peralta,david,9,-97,311,-0.312,444482,-5.598,,,
martinez,j. d.,9,-119,379,-0.314,502110,-7.58,,,
bautista,jose,9,-178,578,-0.308,430832,-8.092,,,
gamel,ben,9,-68,203,-0.335,592325,-8.323,,,
bonifacio,jorge,9,-112,349,-0.321,593528,-9.423,,,
souza,steven,9,-154,484,-0.318,519306,-11.616,,,
puig,yasiel,9,-152,474,-0.321,624577,-12.798,,,
aoki,nori,9,-59,133,-0.444,493114,-19.95,,,
schebler,scott,9,-143,417,-0.343,594988,-20.433,,,
joyce,matthew,9,-142,412,-0.345,459964,-21.012,,,
mazara,nomar,9,-115,317,-0.363,608577,-21.873,,,
polanco,gregory,9,-102,268,-0.381,570256,-23.316,,,
jaso,john,9,-72,154,-0.468,444379,-26.796,,,
springer,george,9,-83,185,-0.449,543807,-28.675,,,
grossman,robbie,9,-71,126,-0.563,543257,-33.894,,,
gonzalez,carlos,9,-167,450,-0.371,471865,-34.65,,,
williams,nick,9,-86,168,-0.512,608384,-36.624,,,
renfroe,hunter,9,-170,452,-0.376,592669,-37.064,,,
cabrera,melky,9,-85,152,-0.559,466320,-40.28,,,
stanton,giancarlo,9,-228,622,-0.367,519317,-45.406,,,
santana,domingo,9,-197,515,-0.383,570267,-45.835,,,
pence,hunter,9,-201,508,-0.396,452254,-51.816,,,
