player_id,position,total_bases,opportunities
492841,8,-1,6
460086,8,-7,29
434158,7,-44,86
448605,8,0,3
593528,7,-10,18
448605,9,-17,45
502110,9,-132,379
136860,9,-1,3
519333,8,-11,58
642423,9,-7,31
664023,9,-19,23
518649,9,0,4
467827,8,-2,2
543257,7,-37,73
595879,9,-1,1
664023,8,-29,146
543706,9,-14,45
592192,7,-28,64
571718,7,-14,80
453923,7,-36,86
607776,9,-26,49
664023,7,-16,36
592192,8,-21,68
592419,8,-31,79
605548,8,-113,339
434604,7,-2,2
571681,8,-47,127
571553,7,-2,3
485567,8,-21,38
519299,7,0,1
543611,7,6,5
546990,7,0,4
642707,8,-1,6
546990,9,0,2
571681,7,2,7
570560,9,0,1
543706,8,-5,6
443558,9,-5,11
592325,7,-146,329
458085,7,-3,15
542303,8,-8,14
489138,7,-6,11
640461,7,-6,9
543611,8,-6,5
621035,8,-31,162
624428,8,-4,7
607776,7,-6,25
641553,8,-172,470
628338,9,1,7
502100,8,-13,69
624585,7,-14,20
571718,9,-15,32
614173,8,-29,85
452252,7,-33,83
444379,7,-12,40
572008,7,-2,2
458913,7,-26,85
501303,7,-20,53
457706,9,-18,46
458913,8,-10,48
502054,9,2,2
593525,7,-20,31
593525,9,0,4
453203,8,-8,18
608701,9,-4,13
543706,7,-12,30
596103,9,-2,9
642423,7,-2,7
458675,8,0,1
492841,7,-1,2
542993,8,-4,5
608336,7,-24,64
446381,7,-2,3
502100,9,-63,126
621433,8,-26,95
430605,7,-19,34
606132,8,-5,13
517369,7,-93,241
596103,7,-46,121
621433,7,-3,3
572669,7,-11,50
489138,9,-5,3
595144,7,-10,16
605480,8,-73,202
608701,7,-2,5
606132,9,-38,74
542454,8,-10,10
622666,7,-3,2
595144,8,-80,171
621446,7,-5,11
592696,9,-14,40
621446,8,-8,31
621035,7,-71,179
576397,7,2,3
595144,9,0,3
605233,7,-65,118
593700,8,-7,34
592863,8,-21,18
596105,7,-9,18
572669,9,-8,15
488818,9,0,1
502151,9,-3,7
458731,8,-19,64
434658,7,-10,34
607043,8,-10,40
575929,7,-3,9
519390,7,-1,4
573088,7,-18,45
573088,9,-15,27
596105,8,0,1
657145,9,-1,8
570481,7,-1,3
596103,8,0,3
594694,8,0,6
622210,9,-3,4
460269,7,-5,11
641355,9,-3,11
607043,7,-46,144
592122,9,-4,6
623182,8,-10,10
592178,7,-3,5
572204,9,-2,12
624507,7,-4,2
643565,9,-2,4
572204,7,-10,11
642180,7,-5,5
544925,9,-1,2
591720,9,0,1
642180,9,-4,5
608384,7,-31,43
458913,9,1,1
544925,7,0,6
643565,7,-11,8
640449,9,-6,22
640449,7,-77,100
608384,9,-97,168
608061,7,2,1
608703,7,-6,15
502100,7,-29,46
592685,7,-24,38
643335,8,-23,104
571980,9,-8,13
643335,7,-9,21
608385,9,-42,89
608384,8,-25,63
571841,9,0,1
516782,7,-83,224
434658,9,-11,15
605509,7,-4,18
614173,7,-7,6
453203,9,-1,19
461865,9,-13,35
453203,7,-17,18
593700,7,-13,23
594694,7,0,2
664057,7,-2,6
444482,7,-47,145
545350,9,-4,2
570489,7,1,1
664056,8,-25,83
605233,8,-5,10
573088,8,-2,5
446481,9,-19,32
571788,9,2,6
592685,8,-12,27
656669,9,-24,46
446481,7,-3,18
664057,8,-1,16
547982,9,-18,71
466320,9,-84,152
519037,9,-4,25
605233,9,-10,32
605480,9,-5,24
656669,7,-13,34
570717,9,-5,11
547170,7,-18,109
544725,9,-4,21
517369,9,-3,8
527049,7,-10,28
656555,7,-32,97
621471,8,-25,117
607043,9,-17,29
664057,9,-13,36
547957,9,-30,35
542340,8,-8,10
435062,9,-3,8
623993,9,-2,28
640461,8,-14,22
446481,8,-4,5
457477,7,0,24
465753,7,1,8
457477,9,-18,26
608703,9,-2,4
571745,8,-2,17
493114,8,-3,6
465753,9,-1,1
475247,9,0,4
571745,7,-4,3
465753,8,-23,38
607369,9,-35,51
150029,9,-23,54
523253,7,1,2
594694,9,2,8
457477,8,1,7
408314,7,-5,3
520471,8,-7,9
640447,8,-11,40
502082,7,-3,22
656185,7,-2,8
607297,7,0,5
657077,8,-4,7
656185,8,-17,53
449181,8,-24,44
643335,9,-1,4
444843,7,-12,17
459964,8,0,4
542642,7,-2,31
621433,9,-4,10
606192,7,-22,55
657077,9,-3,2
641355,8,-1,14
502117,7,-5,9
592419,9,-6,10
592348,9,0,3
664056,7,-2,11
459431,7,-13,13
606192,8,-5,20
542642,9,-3,7
657077,7,-5,5
607054,9,-5,8
592206,9,-39,76
669720,9,-15,45
640447,7,-3,9
592626,7,-4,5
595238,7,-2,1
450641,7,0,2
606299,8,-3,8
643565,8,-5,7
641598,7,0,5
645302,8,3,5
641432,7,-25,32
608672,7,-6,6
643393,8,1,5
547982,7,-1,1
645302,9,-2,15
669720,8,6,24
623993,7,0,1
518618,7,-3,8
600524,7,-2,2
593525,8,-2,3
435622,8,0,7
642707,9,-2,4
543401,8,-21,35
519295,9,1,2
605253,7,3,2
450641,8,0,1
519295,7,-4,1
608385,7,-1,2
622441,8,-1,1
608671,9,-2,8
519295,8,-8,35
527049,9,-2,2
595238,8,-4,24
643603,7,-2,5
546991,9,0,1
641796,7,0,1
