last_name,first_name,position,total_bases,opportunities,percentage,player_id
hechavarria,adeiny,5,-2,2,-1.0,588751
osuna,jose,5,-2,7,-0.286,591741
kramer,kevin,5,1,12,0.083,596012
phillips,brandon,5,-2,3,-0.667,408252
negron,kristopher,5,-1,6,-0.167,502117
diaz,yandy,5,-4,12,-0.333,650490
vargas,ildemaro,5,-2,12,-0.167,545121
ruiz,rio,5,-1,3,-0.333,547004
rosales,adam,5,0,5,0.0,489267
gimenez,chris,5,-1,1,-1.0,460269
wright,david,5,0,1,0.0,431151
kang,jung ho,5,0,2,0.0,628356
velazquez,andrew,5,0,1,0.0,623205
trahan,blake,5,0,2,0.0,664167
