last_name,first_name,position,total_bases,opportunities,percentage,player_id
piscotty,stephen,9,-75,356,-0.211,572039
zobrist,ben,9,-36,114,-0.316,450314
carpenter,matt,3,-33,225,-0.147,572761
rizzo,anthony,3,-30,271,-0.111,519203
judge,aaron,9,-115,492,-0.234,592450
bird,greg,3,-5,52,-0.096,595885
morrison,logan,3,-37,244,-0.152,489149
souza,steven,9,-141,484,-0.291,519306
goldschmidt,paul,3,-27,271,-0.1,502671
belt,brandon,3,-21,217,-0.097,474832
pence,hunter,9,-175,508,-0.344,452254
peralta,david,9,-73,311,-0.235,444482
markakis,nick,9,-152,565,-0.269,455976
bruce,jay,9,-120,515,-0.233,457803
freeman,freddie,3,-21,184,-0.114,518692
mazara,nomar,9,-94,317,-0.297,608577
encarnacion,edwin,3,-4,34,-0.118,429665
almonte,abraham,9,-32,94,-0.34,501659
napoli,mike,3,-17,152,-0.112,435063
gonzalez,carlos,9,-143,450,-0.318,471865
reynolds,mark,3,-25,223,-0.112,448602
santana,domingo,9,-158,515,-0.307,570267
thames,eric,3,-31,195,-0.159,519346
kepler,max,9,-99,515,-0.192,596146
orlando,paulo,9,-12,51,-0.235,449181
hosmer,eric,3,-39,267,-0.146,543333
mauer,joe,3,-28,218,-0.128,408045
joyce,matthew,9,-127,412,-0.308,459964
cron,c. j.,3,-19,198,-0.096,543068
calhoun,kole,9,-153,628,-0.244,594777
bour,justin,3,-25,166,-0.151,571506
stanton,giancarlo,9,-197,622,-0.317,519317
harper,bryce,9,-69,359,-0.192,547180
zimmerman,ryan,3,-38,219,-0.174,475582
schebler,scott,9,-105,417,-0.252,594988
saunders,michael,9,-50,218,-0.229,459431
joseph,tommy,3,-23,193,-0.119,571830
votto,joey,3,-48,323,-0.149,458015
betts,mookie,9,-88,622,-0.141,605141
mccutchen,andrew,9,-16,47,-0.34,457705
moreland,mitch,3,-21,225,-0.093,519048
renfroe,hunter,9,-134,452,-0.296,592669
myers,wil,3,-3,262,-0.011,571976
puig,yasiel,9,-129,474,-0.272,624577
gonzalez,adrian,3,-1,88,-0.011,408236
reddick,josh,9,-69,324,-0.213,502210
gurriel,yuli,3,-24,231,-0.104,493329
haniger,mitch,9,-65,373,-0.174,571745
valencia,danny,3,-18,246,-0.073,502143
springer,george,9,-67,185,-0.362,543807
smith,seth,9,-49,281,-0.174,452234
davis,chris,3,-35,240,-0.146,448801
bautista,jose,9,-156,578,-0.27,430832
abreu,jose,3,-33,265,-0.125,547989
mahtook,mikie,9,-13,65,-0.2,543484
garcia,avisail,9,-95,494,-0.192,541645
cabrera,miguel,3,-44,184,-0.239,408234
guyer,brandon,9,-15,80,-0.188,446386
aguilar,jesus,3,-17,117,-0.145,542583
marte,jefry,3,4,36,0.111,527043
alonso,yonder,3,-26,208,-0.125,475174
gonzalez,marwin,3,4,33,0.121,503556
grichuk,randal,9,-43,220,-0.195,545341
duda,lucas,3,-17,159,-0.107,446263
choo,shin-soo,9,-62,315,-0.197,425783
perez,hernan,9,-16,62,-0.258,541650
canha,mark,9,-22,69,-0.319,592192
altherr,aaron,9,-25,171,-0.146,571437
young,chris,9,3,27,0.111,455759
owings,chris,9,-35,83,-0.422,572008
mancini,trey,9,0,6,0.0,641820
heyward,jason,9,-49,369,-0.133,518792
flores,wilmer,3,-4,37,-0.108,527038
collins,tyler,9,-12,49,-0.245,607385
healy,ryon,3,-14,72,-0.194,592387
stassi,brock,3,0,32,0.0,595426
smoak,justin,3,-32,267,-0.12,475253
bell,josh,3,-59,254,-0.232,605137
santana,carlos,9,-10,24,-0.417,467793
van slyke,scott,3,-6,13,-0.462,475100
sano,miguel,3,1,15,0.067,593934
parker,jarrett,9,-2,9,-0.222,592620
weeks,rickie,3,-4,19,-0.211,430001
jaso,john,3,-11,20,-0.55,444379
thames,eric,9,-7,11,-0.636,519346
kivlehan,patrick,9,-31,69,-0.449,623182
kivlehan,patrick,3,1,5,0.2,623182
martinez,jose,9,-32,59,-0.542,500874
cardullo,stephen,9,-2,7,-0.286,506924
suzuki,ichiro,9,-7,50,-0.14,400085
hicks,aaron,9,-9,34,-0.265,543305
carter,chris,3,-3,73,-0.041,474892
pearce,steve,3,-3,11,-0.273,456665
trumbo,mark,9,-17,101,-0.168,444432
rua,ryan,3,-2,30,-0.067,607387
lind,adam,3,-4,51,-0.078,452252
gentry,craig,9,-10,61,-0.164,502226
santana,danny,9,-10,23,-0.435,542454
martinez,jose,3,-12,58,-0.207,500874
moore,tyler,3,-5,63,-0.079,489138
santana,carlos,3,-24,261,-0.092,467793
freeman,mike,3,0,6,0.0,502273
morales,kendrys,3,-4,14,-0.286,434778
gordon,alex,9,-6,6,-1.0,460086
parra,gerardo,3,0,7,0.0,467827
rivera,rene,3,-1,1,-1.0,425784
maybin,cameron,9,-20,29,-0.69,457727
gennett,scooter,9,-5,20,-0.25,571697
asche,cody,3,-1,3,-0.333,605125
