player_id,position,total_bases,opportunities
595281.0,8,-104,381
452655.0,7,-184,461
605141.0,9,-118,412
598265.0,8,-167,527
460576.0,9,-126,345
605480.0,7,-51,94
664023.0,8,-54,160
621446.0,8,-137,457
643265.0,9,-11,9
656941.0,7,-173,409
518792.0,9,-155,397
518618.0,7,-147,318
624585.0,9,-95,223
541645.0,9,-162,367
641553.0,8,-215,606
547170.0,7,-96,248
445055.0,7,-60,161
460086.0,8,-16,61
544725.0,7,-48,112
449181.0,8,-18,66
502082.0,9,-57,91
605548.0,8,-52,141
543829.0,8,-66,210
571745.0,9,-216,539
400085.0,7,-10,33
571980.0,7,-6,11
444482.0,7,-222,496
471865.0,9,-161,441
467827.0,7,-154,370
572041.0,8,-123,441
453568.0,8,-251,608
502481.0,9,-23,51
607387.0,7,-75,148
502210.0,7,-37,81
608577.0,9,-192,437
543807.0,9,-61,200
592261.0,8,-177,497
545350.0,8,-63,245
545361.0,8,-139,490
594777.0,9,-179,469
572039.0,9,-195,522
621471.0,8,-22,36
457708.0,7,-217,608
459964.0,7,-91,163
622534.0,8,-140,531
571976.0,9,-15,39
456715.0,8,-158,562
517369.0,7,-28,72
592885.0,7,-95,230
570267.0,9,-86,175
502226.0,9,-19,75
641820.0,7,-185,408
592696.0,7,-223,485
596146.0,9,-132,393
621439.0,8,-22,116
430945.0,8,-181,487
592696.0,8,-1,5
434158.0,7,-73,128
543305.0,8,-171,494
607680.0,8,-189,611
458731.0,7,-202,421
545341.0,9,-137,343
592450.0,9,-124,330
455976.0,9,-227,604
542255.0,8,-213,683
656555.0,7,-230,528
571437.0,8,-14,21
605512.0,7,-48,124
608384.0,9,-174,320
546318.0,8,-151,537
608384.0,7,-26,41
461314.0,7,-75,214
624577.0,9,-165,366
457706.0,8,-127,386
452254.0,7,-67,157
621035.0,8,-48,143
457705.0,9,-276,542
493316.0,7,-53,142
502054.0,8,-107,371
542303.0,7,-210,541
457803.0,9,-128,253
607043.0,8,-51,166
451594.0,9,-178,301
543484.0,7,-107,237
547982.0,8,-115,422
572816.0,7,-202,515
516782.0,8,-188,599
592206.0,9,-255,561
570256.0,9,-188,473
594988.0,9,-134,306
608385.0,7,-39,105
571740.0,8,-203,668
572191.0,8,-115,409
547180.0,9,-193,339
594809.0,7,-18,30
571718.0,7,-12,25
608701.0,7,-19,67
643217.0,7,-185,478
450314.0,9,-59,188
546991.0,8,-112,473
457727.0,9,-49,79
450314.0,7,-18,45
657658.0,7,-1,2
575929.0,7,-4,5
572008.0,9,-41,114
605233.0,7,-29,60
543807.0,8,-33,213
502210.0,9,-137,355
503556.0,7,-85,210
519295.0,8,-16,56
640461.0,7,-58,190
458731.0,8,-25,110
641856.0,7,-35,93
571437.0,9,-55,165
488721.0,7,-8,22
502110.0,7,-67,130
643217.0,8,-35,85
546991.0,7,0,1
445055.0,9,-91,220
460086.0,7,-200,540
446386.0,7,-8,38
434658.0,8,-58,151
434658.0,7,-49,75
592685.0,7,-4,16
624636.0,8,-71,183
501981.0,7,-25,46
592669.0,9,-91,194
458675.0,9,-11,28
456665.0,7,-15,30
592450.0,8,-2,2
519317.0,9,-28,129
664068.0,7,-8,13
453923.0,8,-14,59
491676.0,7,-35,115
501571.0,8,-19,59
594807.0,7,-115,351
571718.0,8,-40,128
608385.0,9,-85,148
594988.0,8,-13,63
622682.0,7,-69,117
446481.0,7,-18,30
592444.0,8,-66,284
592685.0,8,-40,107
519317.0,7,-48,119
592626.0,7,-111,271
571771.0,8,-36,153
592626.0,8,-52,93
624428.0,7,-9,35
592885.0,9,-87,229
460075.0,7,-113,272
425783.0,9,-62,124
435062.0,7,-5,18
623993.0,9,-46,118
502110.0,9,-39,109
628338.0,7,-40,97
502226.0,8,-6,34
446386.0,9,-56,157
519333.0,8,-3,13
605486.0,7,-15,18
517369.0,9,-10,20
435622.0,7,-16,51
491676.0,8,-85,347
453923.0,7,-55,101
628338.0,8,-87,316
600301.0,7,0,1
541650.0,7,-20,33
605480.0,9,-33,120
640461.0,9,-11,19
664023.0,7,-57,111
640447.0,9,-47,102
467827.0,9,-13,39
664068.0,9,-9,8
624424.0,8,-66,236
534606.0,7,-30,70
640461.0,8,-3,9
502226.0,7,-35,72
458675.0,7,0,4
518792.0,8,-18,68
640447.0,7,-69,128
488726.0,7,-184,434
572669.0,7,-2,5
607054.0,7,-32,69
624428.0,9,-16,44
640447.0,8,-17,22
592444.0,7,-75,230
593160.0,9,-15,39
434658.0,9,-1,3
571771.0,7,-4,26
657658.0,9,-1,10
543257.0,9,-82,179
460576.0,8,-2,14
643565.0,8,0,12
544725.0,8,-26,81
571980.0,9,-37,127
594694.0,8,-1,3
455759.0,7,-13,25
605233.0,9,-5,10
621433.0,8,-18,120
457727.0,8,-62,164
456665.0,9,0,6
502481.0,7,-9,14
455759.0,9,-40,51
455759.0,8,-15,46
664056.0,8,-92,339
624424.0,9,-12,40
453203.0,8,-9,10
459964.0,8,-1,4
501213.0,7,-8,31
664056.0,9,-55,136
541650.0,8,-2,5
592680.0,9,0,2
572204.0,8,-23,35
461314.0,9,-61,109
459964.0,9,-1,6
614173.0,8,-26,42
435622.0,8,-5,10
571431.0,7,-16,36
501659.0,8,-63,160
502481.0,8,-32,179
449181.0,7,-22,19
543776.0,9,-12,49
608336.0,7,-216,335
606192.0,7,-180,341
488721.0,8,-2,7
596119.0,7,-6,19
598265.0,9,-12,50
593160.0,8,-32,133
592192.0,7,-54,129
608654.0,9,-35,95
607043.0,9,-92,218
592192.0,8,-68,214
608654.0,8,6,35
457727.0,7,-63,156
664056.0,7,-7,17
607054.0,9,-21,43
572669.0,9,-1,3
605480.0,8,-85,254
608654.0,7,-44,121
600524.0,7,-10,15
624424.0,7,-104,281
592348.0,7,-7,20
571788.0,7,-12,11
664057.0,7,-13,36
544725.0,9,-19,49
592885.0,8,-19,60
643565.0,7,-2,13
592325.0,7,-74,168
519333.0,7,-10,21
608577.0,7,-3,5
543776.0,7,-15,25
624428.0,8,-8,24
605233.0,8,-6,14
596146.0,8,-75,192
534606.0,8,-53,135
444482.0,9,-10,15
518614.0,7,-7,12
491676.0,9,-14,24
607776.0,7,-33,88
607387.0,9,0,8
434158.0,9,-74,140
641355.0,7,0,1
592178.0,9,-6,33
572204.0,7,-16,26
614173.0,9,-25,26
621311.0,7,-51,133
571595.0,9,-25,67
641933.0,7,-20,56
400085.0,9,-5,4
571745.0,8,-33,97
621311.0,9,-27,78
572204.0,9,-44,99
664068.0,8,-2,1
445055.0,8,-32,113
614173.0,7,-34,83
591741.0,9,-3,21
446481.0,9,-3,6
660670.0,7,-139,338
606192.0,9,-77,146
622441.0,8,-1,6
594838.0,7,0,3
605141.0,8,-8,52
543257.0,7,-53,117
664057.0,8,1,8
605119.0,9,-148,352
461865.0,8,0,3
594953.0,9,-88,144
596103.0,7,-26,91
641355.0,9,-1,5
571970.0,7,-1,4
572073.0,9,-55,134
657077.0,9,-17,29
519333.0,9,2,16
607043.0,7,-24,106
527043.0,7,0,2
622441.0,7,-1,2
572073.0,7,-27,84
571771.0,9,-9,27
596103.0,9,-18,45
591971.0,9,0,2
446481.0,8,-6,18
608671.0,9,-57,155
657077.0,7,-4,21
501213.0,9,-1,1
596105.0,7,-34,65
502143.0,9,-36,64
572008.0,7,-3,12
641796.0,8,-2,5
519306.0,9,-120,225
444432.0,9,-49,65
592647.0,7,-6,11
571595.0,7,-27,42
461865.0,7,-6,15
656185.0,8,-108,311
622682.0,9,-16,27
518466.0,9,-23,29
546990.0,7,-11,23
545350.0,9,-2,2
594011.0,7,1,1
465753.0,8,0,2
453923.0,9,-16,29
592348.0,9,-9,33
641583.0,8,-68,188
657145.0,9,0,2
474832.0,7,-16,18
606299.0,9,0,1
592192.0,9,-20,39
608701.0,9,-6,11
614177.0,9,-101,222
541650.0,9,-26,49
621311.0,8,-11,28
608671.0,8,-20,102
572008.0,8,-23,47
665742.0,7,-207,438
596105.0,9,-13,25
664023.0,9,-13,56
543484.0,8,-3,7
643393.0,7,-65,153
641355.0,8,-64,221
621044.0,7,-1,4
595943.0,7,-2,2
656185.0,9,-8,35
643393.0,8,-36,109
640457.0,8,-21,65
641684.0,9,-6,38
595909.0,8,-60,262
641933.0,9,-34,60
466320.0,9,-83,201
660670.0,8,-1,42
518586.0,7,-27,83
434158.0,8,0,4
608671.0,7,-60,86
534606.0,9,0,8
641933.0,8,-1,10
430832.0,7,-22,47
607387.0,8,0,3
605204.0,7,-7,13
461865.0,9,-4,6
593647.0,9,-15,33
595909.0,7,-7,15
518618.0,9,0,1
641525.0,7,-3,4
607430.0,9,0,11
605508.0,7,-65,119
660670.0,9,-8,14
455976.0,7,-2,2
641525.0,9,-12,18
640457.0,7,-26,46
640457.0,9,-32,55
593647.0,7,-2,10
592669.0,7,-100,234
571788.0,9,-5,15
431145.0,7,-2,6
592325.0,9,-26,99
643393.0,9,-5,9
596119.0,9,-11,19
501659.0,7,-1,3
622226.0,9,-6,18
543776.0,8,-10,29
425783.0,7,-71,110
571718.0,9,0,9
640449.0,7,-9,30
502117.0,9,2,5
622226.0,7,-13,22
545341.0,8,-31,95
607752.0,7,-6,16
608336.0,8,-3,54
605361.0,7,-36,139
501659.0,9,-1,4
643565.0,9,-1,3
466320.0,7,-9,13
641531.0,9,-5,6
547180.0,8,-61,245
594809.0,9,-120,268
607776.0,9,-4,8
449181.0,9,2,10
621044.0,9,-1,3
457706.0,7,-1,5
571980.0,8,-16,69
642086.0,7,-40,38
656185.0,7,0,1
519346.0,7,-16,27
430832.0,9,-79,209
503556.0,9,1,2
608324.0,7,-1,1
594011.0,9,-37,103
600301.0,9,-2,14
519346.0,9,-44,90
488721.0,9,-2,5
594011.0,8,-6,51
571976.0,7,-68,133
593700.0,7,-42,57
640449.0,8,-2,4
641684.0,8,-3,42
542454.0,7,-5,16
444876.0,8,-17,34
571595.0,8,-5,7
621563.0,7,-16,45
624636.0,7,-2,11
664058.0,9,-3,2
594777.0,8,-5,5
460075.0,9,-5,5
641684.0,7,-7,10
595909.0,9,-25,42
542454.0,8,-1,5
542979.0,8,-18,79
605508.0,8,0,21
458675.0,8,-2,3
593528.0,7,-5,20
