last_name,first_name,position,total_bases,opportunities,percentage,player_id
rivera,rene,3,0,1,0.0,425784
ramirez,alexei,9,-1,7,-0.143,493351
schafer,logan,9,-5,25,-0.2,502582
gurriel,yuli,3,0,8,0.0,493329
rosario,eddie,9,2,2,1.0,592696
hoying,jared,9,-4,14,-0.286,592419
segedin,rob,3,-2,5,-0.4,574847
jay,jon,9,0,32,0.0,445055
bell,josh,9,-11,36,-0.306,605137
hicks,john,3,0,1,0.0,543308
beresford,james,3,4,8,0.5,503437
selsky,steve,9,-11,36,-0.306,592731
nava,daniel,3,-2,3,-0.667,537953
quinn,roman,9,-11,15,-0.733,596451
solarte,yangervis,3,0,3,0.0,500208
patterson,jordan,9,0,1,0.0,641958
vogelbach,dan,3,-3,2,-1.5,596129
williams,mason,9,-8,20,-0.4,592863
dozier,hunter,9,-8,24,-0.333,641531
coghlan,chris,3,0,2,0.0,458085
iribarren,hernan,9,0,5,0.0,454975
rivera,t. j.,3,0,1,0.0,608061
jensen,kyle,3,-1,4,-0.25,571812
olson,matt,3,0,3,0.0,621566
renfroe,hunter,9,-14,30,-0.467,592669
pena,brayan,3,0,1,0.0,430910
goins,ryan,3,-1,3,-0.333,572365
shaffer,richie,9,-3,4,-0.75,572128
renda,tony,9,-4,11,-0.364,573113
merrifield,whit,3,0,3,0.0,593160
olson,matt,9,-6,11,-0.545,621566
martinez,jose,3,0,1,0.0,500874
aguilar,jesus,3,-4,6,-0.667,542583
hood,destin,9,2,3,0.667,543329
margot,manuel,9,-4,7,-0.571,622534
patterson,jordan,3,0,1,0.0,641958
