last_name,first_name,position,total_bases,opportunities,percentage,player_id
russell,addison,6,-27,316,-0.085,608365
diaz,aledmys,6,-28,186,-0.151,649557
beckham,tim,6,-26,399,-0.065,542921
torreyes,ronald,6,0,83,0.0,591720
kozma,pete,6,-3,14,-0.214,518902
owings,chris,6,-20,180,-0.111,572008
cabrera,asdrubal,6,-27,151,-0.179,452678
swanson,dansby,6,-38,468,-0.081,621020
andrus,elvis,6,-21,620,-0.034,462101
lindor,francisco,6,-27,474,-0.057,596019
arcia,orlando,6,-25,511,-0.049,606115
story,trevor,6,-20,465,-0.043,596115
polanco,jorge,6,-37,431,-0.086,593871
escobar,alcides,6,-21,571,-0.037,444876
semien,marcus,6,-28,295,-0.095,543760
simmons,andrelton,6,-27,528,-0.051,592743
turner,trea,6,-30,315,-0.095,607208
galvis,freddy,6,-38,522,-0.073,520471
cozart,zack,6,-37,358,-0.103,446359
mercer,jordy,6,-13,438,-0.03,474568
bogaerts,xander,6,-49,468,-0.105,593428
seager,corey,6,-42,399,-0.105,608369
aybar,erick,6,-30,340,-0.088,430947
hernandez,enrique,6,-4,66,-0.061,571771
segura,jean,6,-8,384,-0.021,516416
correa,carlos,6,-37,342,-0.108,621043
tulowitzki,troy,6,-1,229,-0.004,453064
hardy,j. j.,6,-8,239,-0.033,429666
anderson,tim,6,-59,493,-0.12,641313
iglesias,jose,6,-45,429,-0.105,578428
robertson,daniel,6,2,70,0.029,621002
crawford,brandon,6,-36,496,-0.073,543063
escobar,eduardo,6,2,38,0.053,500871
hechavarria,adeiny,6,-29,310,-0.094,588751
ahmed,nick,6,4,161,0.025,605113
perez,hernan,6,6,17,0.353,541650
hernandez,marco,6,5,11,0.455,593523
peraza,jose,6,-35,157,-0.223,606299
cordoba,allen,6,-5,52,-0.096,642707
difo,wilmer,6,-12,214,-0.056,594694
blanco,andres,6,-2,4,-0.5,433217
rojas,miguel,6,-15,238,-0.063,500743
pennington,cliff,6,-5,24,-0.208,460060
drew,stephen,6,-2,35,-0.057,452220
motter,taylor,6,-2,96,-0.021,600301
nunez,eduardo,6,-2,43,-0.047,456488
riddle,jt,6,-15,211,-0.071,595375
machado,dixon,6,-13,91,-0.143,553988
reyes,jose,6,-38,239,-0.159,408314
adames,cristhian,6,0,1,0.0,542436
