last_name,first_name,position,total_bases,opportunities,percentage,player_id
velazquez,andrew,8,-2,2,-1.0,623205
cordell,ryan,8,0,29,0.0,641477
davis,jonathan,8,2,27,0.074,641505
robles,victor,8,13,40,0.325,645302
barnes,brandon,8,1,6,0.167,488681
guerrero,gabriel,8,-7,11,-0.636,602115
luplow,jordan,8,1,9,0.111,656669
gonzalez,marwin,8,0,2,0.0,503556
kipnis,jason,8,-2,36,-0.056,543401
straw,myles,8,0,3,0.0,664702
lin,tzu-wei,8,-3,6,-0.5,624407
adams,lane,8,0,5,0.0,572669
alford,anthony,8,-1,2,-0.5,546990
