last_name,first_name,position,total_bases,opportunities,percentage,player_id
soler,jorge,9,-81,321,-0.252,624585
rizzo,anthony,3,-26,262,-0.099,519203
heyward,jason,9,-86,542,-0.159,518792
adams,matt,3,-14,76,-0.184,571431
calhoun,kole,9,-135,635,-0.213,594777
morse,mike,3,-12,77,-0.156,434604
stanton,giancarlo,9,-80,322,-0.248,519317
markakis,nick,9,-141,593,-0.238,455976
freeman,freddie,3,-19,196,-0.097,518692
snider,travis,9,-28,84,-0.333,501983
loney,james,3,-27,158,-0.171,425766
souza,steven,9,-79,356,-0.222,519306
pearce,steve,3,-13,52,-0.25,456665
sizemore,grady,9,-23,131,-0.176,429713
victorino,shane,9,-16,99,-0.162,425664
ortiz,david,3,-4,9,-0.444,120074
napoli,mike,3,-31,192,-0.161,435063
carter,chris,3,-32,179,-0.179,474892
santana,carlos,3,-32,192,-0.167,467793
moss,brandon,9,-62,317,-0.196,461235
braun,ryan,9,-126,455,-0.277,460075
lind,adam,3,-17,185,-0.092,452252
gonzalez,carlos,9,-165,557,-0.296,471865
morneau,justin,3,-12,70,-0.171,408047
blackmon,charlie,9,2,20,0.1,453568
cabrera,miguel,3,-14,204,-0.069,408234
hunter,torii,9,-88,477,-0.184,116338
martinez,j. d.,9,-116,545,-0.213,502110
mauer,joe,3,-42,265,-0.158,408045
zimmerman,ryan,3,-34,167,-0.204,475582
granderson,curtis,9,-98,560,-0.175,434158
harper,bryce,9,-102,555,-0.184,547180
duda,lucas,3,-31,229,-0.135,446263
polanco,gregory,9,-127,553,-0.23,570256
alvarez,pedro,3,-43,205,-0.21,476883
puig,yasiel,9,-41,242,-0.169,624577
kemp,matt,9,-158,581,-0.272,461314
alonso,yonder,3,-33,183,-0.18,475174
trumbo,mark,9,-96,252,-0.381,444432
goldschmidt,paul,3,-36,313,-0.115,502671
blanco,gregor,9,-20,62,-0.323,453923
belt,brandon,3,-26,225,-0.116,474832
choo,shin-soo,9,-100,594,-0.168,425783
gentry,craig,9,1,8,0.125,502226
davis,ike,3,-18,121,-0.149,477195
fielder,prince,3,-9,25,-0.36,425902
bautista,jose,9,-90,415,-0.217,430832
beltran,carlos,9,-86,369,-0.233,136860
encarnacion,edwin,3,-13,99,-0.131,429665
smoak,justin,3,-6,142,-0.042,475253
cruz,nelson,9,-62,320,-0.194,443558
pujols,albert,3,-36,174,-0.207,405395
morrison,logan,3,-29,201,-0.144,489149
forsythe,logan,3,-10,44,-0.227,523253
parra,gerardo,9,-53,195,-0.272,467827
descalso,daniel,3,0,5,0.0,518614
posey,buster,3,-6,61,-0.098,457763
smolinski,jake,9,-6,50,-0.12,519295
davis,chris,3,-22,179,-0.123,448801
nava,daniel,9,-20,103,-0.194,537953
francoeur,jeff,9,-58,252,-0.23,425796
howard,ryan,3,-33,203,-0.163,429667
ruf,darin,3,-12,69,-0.174,573131
hosmer,eric,3,-21,274,-0.077,543333
abreu,jose,3,-9,191,-0.047,547989
rios,alex,9,-74,411,-0.18,425567
garcia,avisail,9,-92,467,-0.197,541645
springer,george,9,-71,334,-0.213,543807
robinson,shane,9,-7,20,-0.35,453203
votto,joey,3,-40,283,-0.141,458015
bruce,jay,9,-129,608,-0.212,457803
maxwell,justin,9,-53,202,-0.262,452239
canha,mark,3,-30,107,-0.28,592192
ross,cody,9,2,16,0.125,425496
zobrist,ben,9,-1,18,-0.056,450314
moreland,mitch,3,-37,175,-0.211,519048
valencia,danny,3,-1,3,-0.333,502143
teixeira,mark,3,-22,209,-0.105,407893
young,chris,9,-16,115,-0.139,455759
murphy,david,9,-16,37,-0.432,461815
raburn,ryan,9,-9,43,-0.209,430605
cuddyer,michael,3,-5,28,-0.179,150212
rodriguez,sean,3,-4,69,-0.058,446481
ruggiano,justin,9,-6,23,-0.261,448605
fuld,sam,9,-10,42,-0.238,453539
reynolds,mark,3,-36,153,-0.235,448602
guyer,brandon,9,-6,78,-0.077,446386
tolleson,steven,9,-4,2,-2.0,476270
rodriguez,alex,3,-1,4,-0.25,121347
jones,garrett,9,-12,67,-0.179,434540
craig,allen,9,-4,28,-0.143,501800
sands,jerry,9,-26,70,-0.371,543742
peguero,carlos,9,-5,22,-0.227,451713
ethier,andre,9,-64,247,-0.259,444843
gonzalez,adrian,3,-32,254,-0.126,408236
laroche,adam,3,-17,73,-0.233,425560
hart,corey,9,-9,16,-0.562,430611
solarte,yangervis,3,-2,41,-0.049,500208
venable,will,9,-4,25,-0.16,461416
dykstra,allan,3,-2,13,-0.154,488852
pearce,steve,9,-4,16,-0.25,456665
valencia,danny,9,-5,12,-0.417,502143
gonzalez,marwin,3,-4,49,-0.082,503556
rosales,adam,3,-5,20,-0.25,489267
cowgill,collin,9,5,17,0.294,518577
navarro,efren,9,-4,4,-1.0,519068
inciarte,ender,9,-50,230,-0.217,542255
van slyke,scott,3,-6,17,-0.353,475100
plouffe,trevor,3,-2,33,-0.061,461858
mayberry,john,9,-9,37,-0.243,460055
reddick,josh,9,-105,522,-0.201,502210
kiermaier,kevin,9,-2,3,-0.667,595281
boesch,brennan,9,0,12,0.0,453269
dyson,jarrod,9,5,61,0.082,502481
young,delmon,9,-33,142,-0.232,430321
bloomquist,willie,3,0,4,0.0,217100
rivera,rene,3,-2,3,-0.667,425784
navarro,efren,3,-2,32,-0.062,519068
shuck,jb,9,-18,80,-0.225,543776
negron,kristopher,9,-5,6,-0.833,502117
